"1","Financial Year","31-12-2012","31-12-2013","31-03-2015","31-03-2016","31-03-2017","31-03-2018","31-03-2019","31-03-2019       TTM"
"2","Sales/Revenue","178,729.00","260,741.00","285,172.00","241,310.00","318,353.00","258,601.00","219,559.00","219,559.00"
"3","Pretax Income","35,432.00","93,744.00","75,537.00","65,100.00","71,868.00","70,341.00","40,474.00","40,474.00"
"4","Net Income","28,118.00","81,899.00","71,910.00","63,048.00","62,656.00","67,244.00","36,533.00","36,533.00"
"5","Cash & Short-Term Investments","43,316.00","35,424.00","48,983.00","43,170.00","53,319.00","32,743.00","37,113.00","37,113.00"
"6","Cash Only","7,611.00","27,142.00","45,018.00","15,299.00","16,253.00","23,941.00","26,935.00","26,935.00"
"7","Total Accounts Receivables","75,744.00","138,351.00","109,459.00","137,969.00","173,305.00","145,243.00","125,842.00","138,517.00"
"8","Inventories","20,221.00","32,736.00","43,676.00","42,471.00","57,210.00","38,775.00","52,592.00","52,592.00"
"9","Net Property, Plant & Equipment","51,552.00","146,585.00","140,557.00","121,596.00","135,230.00","172,798.00","177,575.00","177,575.00"
"10","Short Term Debt","24,730.00","16,865.00","32,297.00","49,489.00","76,357.00","51,772.00","55,280.00","55,280.00"
"11","Long Term Debt","75,704.00","134,730.00","102,062.00","75,605.00","80,532.00","90,402.00","81,350.00","81,350.00"
"12","Net Operating Cash Flow","(41,916.00)","63,959.00","111,517.00","74,836.00","73,940.00","110,601.00","66,839.00","66,839.00"
"13","Capital Expenditures","(42,849.00)","(111,625.00)","(28,014.00)","(9,947.00)","(41,467.00)","(49,029.00)","(24,083.00)","(24,083.00)"
"14","Total Shares Outstanding (million)","1,349,993.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00"
"16","Financial Year","31-12-2016       3","31-03-2017       4","30-06-2017       1","30-09-2017       2","31-12-2017       3","31-03-2018       4","30-06-2018       1","30-09-2018       2"
"17","Sales/Revenue","73,212.00","92,616.00","60,103.00","73,563.00","60,294.00","64,641.00","48,784.00","57,303.00"
"18","Pretax Income","11,068.00","18,886.00","15,378.00","21,657.00","15,469.00","17,837.00","7,902.00","9,193.00"
"19","Net Income","7,968.00","17,950.00","15,124.00","20,059.00","14,651.00","17,410.00","7,394.00","8,515.00"
"20","Cash & Short-Term Investments","36,769.00","53,319.00","26,797.00","49,264.00","35,684.00","32,743.00","35,222.00","13,312.00"
"21","Cash Only","10,504.00","16,253.00","8,687.00","7,287.00","23,576.00","23,941.00","11,805.00","7,182.00"
"22","Total Accounts Receivables","187,799.00","175,277.00","138,746.00","159,541.00","173,742.00","155,537.00","162,763.00","186,889.00"
"23","Inventories","49,961.00","57,210.00","52,172.00","43,372.00","43,955.00","38,775.00","43,142.00","47,002.00"
"24","Net Property, Plant & Equipment","107,365.00","135,230.00","165,591.00","171,369.00","168,402.00","172,798.00","181,276.00","182,050.00"
"25","Short Term Debt","63,531.00","-","58,809.00","66,780.00","62,391.00","51,772.00","52,458.00","68,687.00"
"26","Long Term Debt","80,087.00","80,532.00","81,199.00","91,203.00","88,574.00","90,402.00","87,753.00","98,510.00"
"27","Net Operating Cash Flow","(9,823.00)","48,309.00","48,834.00","12,534.00","8,389.00","40,844.00","16,477.00","(30,791.00)"
"28","Capital Expenditures","(4,400.00)","(33,264.00)","(31,599.00)","(8,002.00)","(1,419.00)","(8,009.00)","(12,118.00)","(4,720.00)"
"29","Total Shares Outstanding (million)","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00","1,350,000.00"
