"1","Financial Year","30-06-2016       2","30-09-2016       3","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2"
"2","Sales/Revenue","-","-","5,658.20","-","-","-","-","-","-"
"3","Pretax Income","(31,720.54)","(4,277.54)","(73,585.52)","(1,710.04)","(6,748.82)","(2,028.27)","(131,939.46)","(4,180.99)","3,309.76"
"4","Net Income","(31,720.54)","(4,277.54)","(73,585.52)","(1,711.03)","(6,748.82)","(2,027.11)","(131,939.46)","(4,181.82)","3,309.76"
"5","Cash & Short-Term Investments","347,238.69","354,391.36","360,673.37","358,545.59","353,686.23","354,859.56","347,206.23","344,914.18","340,781.67"
"6","Cash Only","347,238.69","354,391.36","360,673.37","358,545.59","353,686.23","354,859.56","347,206.23","344,914.18","340,781.67"
"7","Total Accounts Receivables","16,703.24","17,074.63","6,713.34","5,894.38","69.72","69.94","68.53","68.10","67.34"
"8","Inventories","-","-","-","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","76,680.66","74,620.43","28,905.01","28,645.68","28,172.81","28,181.34","27,490.55","27,257.78","26,880.30"
"10","Accrued Payable","7,216.86","9,037.88","-","-","3,824.29","4,008.12","126,557.35","125,851.54","124,509.79"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","1,214.57","(561.27)","(4,724.44)","719.46","(183.21)","(125.82)","(6,097.14)","(868.35)","(1,454.25)"
"13","Capital Expenditures","-","-","-","-","-","-","-","-","-"
"14","Total Shares Outstanding (million)","398,861.00","398,861.00","398,861.00","398,861.00","398,861.00","398,860.60","398,860.60","398,860.60","398,860.60"
