"1","Financial Year","30-06-2009","30-06-2010","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","53,511.28","48,862.35","46,108.22","46,357.35","65,081.87","65,567.47","31,659.04","28,365.13","25,200.48","29,848.58","32,310.00"
"3","Pretax Income","8,777.72","7,097.14","7,164.27","5,822.03","9,549.85","8,579.00","2,563.34","(2,788.09)","(12,569.83)","(2,015.16)","1,059.00"
"4","Net Income","6,603.14","5,410.55","5,301.37","4,337.61","7,245.05","10,164.52","2,786.86","(3,151.20)","(10,060.27)","(1,771.25)","1,303.00"
"5","Cash & Short-Term Investments","19,891.37","14,230.47","22,931.83","22,033.76","20,899.65","24,907.50","35,058.96","16,706.03","1,487.52","585.56","3,295.00"
"6","Cash Only","6,470.34","6,668.21","10,111.44","3,677.18","1,941.82","11,124.94","9,270.10","6,426.16","1,487.52","585.56","3,295.00"
"7","Total Accounts Receivables","11,315.40","10,452.14","7,989.40","10,416.51","24,519.79","19,246.57","17,008.62","49,506.71","58,221.06","53,470.42","64,256.00"
"8","Inventories","12,527.10","13,848.09","11,873.15","12,914.07","19,418.77","15,036.18","12,304.90","13,885.93","8,762.25","30,631.10","49,357.00"
"9","Net Property, Plant & Equipment","13,426.67","13,730.21","12,388.83","12,000.08","10,554.21","9,234.50","26,764.65","51,535.55","60,890.35","47,771.92","38,871.00"
"10","Accrued Payable","1,686.93","1,802.94","380.29","1,377.76","-","-","-","3,494.47","4,441.50","4,791.35","9,725.00"
"11","Short Term Debt","61.87","191.02","952.37","145.35","1,557.61","-","623.14","3,559.69","1,175.07","954.46","1,266.00"
"12","Long Term Debt","32.76","895.98","1,142.80","1,014.78","874.08","-","7,369.82","6,766.14","6,029.02","5,297.67","4,873.00"
"13","Net Operating Cash Flow","14,685.50","5,684.90","8,730.05","2,143.24","(2,013.60)","9,003.67","7,195.06","(5,890.17)","(7,337.74)","(498.84)","(21,762.84)"
"14","Capital Expenditures","(2,885.44)","(8,906.92)","(383.28)","(621.07)","(263.60)","(608.10)","(10,715.23)","(21,471.56)","(2,476.65)","(803.93)","(515.93)"
"15","Total Shares Outstanding (million)","324,192.00","311,657.00","311,657.00","311,657.00","311,661.00","311,661.00","323,489.00","392,215.20","431,426.72","442,001.62","479,666.72"
"16","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3","31-03-2019       3"
"17","Sales/Revenue","4,672.00","3,474.00","10,378.48","3,528.00","5,799.00","8,765.00","11,757.00","8,232.00","8,410.00","3,911.00","3,911.00"
"18","Pretax Income","(2,796.00)","(3,974.00)","(3,429.83)","(3,285.00)","312.00","112.00","849.00","52.00","112.00","46.00","46.00"
"19","Net Income","(2,796.00)","(3,974.00)","(920.27)","(3,285.00)","312.00","112.00","1,093.00","52.00","112.00","46.00","46.00"
"20","Cash & Short-Term Investments","3,523.00","1,485.00","1,488.00","100.00","1,273.00","585.00","585.56","307.00","840.00","3,295.00","3,295.00"
"21","Cash Only","3,523.00","1,485.00","1,488.00","100.00","1,273.00","585.00","585.56","307.00","840.00","3,295.00","3,295.00"
"22","Total Accounts Receivables","64,040.00","60,975.00","58,355.00","57,920.00","53,408.00","50,251.00","53,470.42","55,387.00","58,626.00","64,256.00","64,256.00"
"23","Inventories","11,441.00","10,080.00","8,762.00","11,683.00","11,675.00","9,414.00","30,631.10","40,051.00","41,067.00","49,357.00","49,357.00"
"24","Net Property, Plant & Equipment","60,112.00","61,749.00","61,072.00","60,499.00","60,399.00","64,994.00","47,771.92","47,146.00","46,211.00","38,871.00","38,871.00"
"25","Accrued Payable","3,110.00","3,953.00","4,309.00","4,417.00","3,848.00","3,964.00","4,791.35","9,557.00","9,537.00","9,725.00","9,725.00"
"26","Short Term Debt","2,944.00","1,945.00","-","2,108.00","2,434.00","1,758.00","954.46","2,541.00","1,639.00","1,266.00","1,266.00"
"27","Long Term Debt","6,524.00","6,292.00","6,029.00","5,844.00","5,782.00","5,560.00","5,297.67","5,091.00","4,955.00","4,873.00","4,873.00"
"28","Net Operating Cash Flow","(9,445.00)","1,813.00","344.26","(1,902.00)","2,321.00","4,910.00","(5,827.84)","(4,532.00)","(2,858.00)","(8,545.00)","(8,545.00)"
"29","Capital Expenditures","(1,146.00)","-","(775.65)","(153.00)","(135.00)","-","(515.93)","-","-","-","-"
"30","Total Shares Outstanding (million)","431,438.00","321,642.00","321,642.00","431,426.72","431,426.72","431,426.72","442,001.62","442,001.62","458,366.72","479,666.72","479,666.72"
