"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other"
"2","Sales/Revenue","123,909.00","137,111.00","111,636.00","99,966.00","62,792.00","155,873.00","141,005.00","155,472.00","117,455.00","100,309.00"
"3","Pretax Income","5,255.00","3,068.00","4,274.00","2,912.00","26,591.00","4,310.00","138,166.00","295.00","(4,038.00)","(871.00)"
"4","Net Income","3,767.00","2,100.00","3,269.00","2,170.00","24,206.00","3,285.00","137,311.00","(180.00)","(3,070.00)","(1,464.00)"
"5","Cash & Short-Term Investments","95,989.00","79,405.00","90,069.00","77,061.00","129,252.00","79,458.00","260,757.00","249,826.00","247,538.00","267,004.00"
"6","Total Accounts Receivables","246,783.00","265,919.00","260,400.00","262,966.00","248,481.00","307,223.00","322,142.00","345,544.00","340,745.00","329,891.00"
"7","Inventories","17,281.00","16,490.00","15,865.00","15,644.00","13,207.00","14,333.00","46,097.00","29,358.00","22,736.00","15,105.00"
"8","Net Property, Plant & Equipment","17,653.00","17,325.00","17,042.00","16,964.00","16,584.00","16,336.00","15,965.00","15,622.00","15,355.00","14,933.00"
"9","Short Term Debt","844.00","1,090.00","892.00","860.00","80.00","1,191.00","17,298.00","18,172.00","18,146.00","13,121.00"
"10","Long Term Debt","16.00","-","71.00","71.00","58.00","79.00","81.00","73.00","60.00","46.00"
"11","Net Operating Cash Flow","19,498.00","(16,375.00)","10,339.00","(14,340.00)","59,368.00","(51,711.00)","(14,951.00)","(17,793.00)","(5,735.00)","15,158.00"
"12","Capital Expenditures","(451.00)","(341.00)","(308.00)","(451.00)","(357.00)","(198.00)","(359.00)","(124.00)","(411.00)","(778.00)"
"13","Total Shares Outstanding (million)","227,827.00","-","227,827.00","227,827.00","227,827.00","227,827.00","227,827.00","227,827.00","227,827.00","227,827.00"
