"1","Financial Year","30-09-2016       4","31-03-2017       2","30-09-2017       4","31-03-2018       2","30-09-2018       4"
"2","Sales/Revenue","-","-","-","-","-"
"3","Pretax Income","(2,181.05)","(2,442.67)","(2,434.82)","(2,606.15)","(2,713.15)"
"4","Net Income","(3,617.15)","(3,839.24)","(3,784.06)","(3,987.11)","(4,158.85)"
"5","Cash & Short-Term Investments","401,315.98","401,043.36","405,655.34","409,817.12","414,513.44"
"6","Cash Only","215.95","113.92","273.42","332.54","367.12"
"7","Total Accounts Receivables","6.00","4,428.20","4,417.43","4,560.42","4,674.99"
"8","Net Property, Plant & Equipment","134.89","102.77","73.16","40.60","8.05"
"9","Accrued Payable","64.42","61.00","-","-","-"
"10","Short Term Debt","-","-","-","-","401,897.99"
"11","Long Term Debt","368,346.30","376,530.32","384,692.18","393,109.07","-"
"12","Net Operating Cash Flow","(3,898.98)","(3,628.72)","(3,121.26)","(3,326.56)","(3,225.11)"
"13","Capital Expenditures","(0.94)","-","(2.59)","-","-"
"14","Total Shares Outstanding (million)","1,000,000.00","1,000,000.00","1,000,000.20","1,000,000.20","1,000,000.20"
