"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","231,389.00","219,927.00","298,094.00","343,617.00","361,452.00","408,014.00","384,240.00"
"3","Pretax Income","36,144.00","41,541.00","73,282.00","79,350.00","37,049.00","14,278.00","6,515.00"
"4","Net Income","29,028.00","34,585.00","59,553.00","66,685.00","27,946.00","10,103.00","4,994.00"
"5","Cash & Short-Term Investments","55,624.00","76,639.52","207,718.00","144,269.00","85,084.00","48,222.00","54,319.00"
"6","Cash Only","-","29,237.00","22,689.00","50,194.00","35,594.00","18,543.00","-"
"7","Total Accounts Receivables","58,140.00","77,487.00","85,136.00","135,732.00","108,427.00","102,271.00","95,297.00"
"8","Inventories","47,221.00","40,470.00","51,031.00","63,790.00","100,982.00","122,277.00","119,533.00"
"9","Net Property, Plant & Equipment","116,980.00","86,173.00","129,295.00","180,934.00","201,730.00","210,643.00","215,850.00"
"10","Accrued Payable","-","16,179.00","17,662.00","19,584.00","26,277.00","22,880.00","47,950.00"
"11","Short Term Debt","-","11,214.00","13,491.00","9,783.00","10,230.00","17,258.00","26,414.00"
"12","Long Term Debt","10,965.00","10,380.00","9,391.00","16,112.00","11,208.00","10,573.00","10,786.00"
"13","Net Operating Cash Flow","40,197.00","25,576.00","45,270.00","43,749.00","19,111.00","3,293.00","22,684.00"
"14","Capital Expenditures","(17,623.00)","(9,914.00)","(46,315.00)","(49,757.00)","(59,879.00)","(28,477.00)","(21,289.00)"
"15","Total Shares Outstanding (million)","911,238.00","911,241.00","1,002,370.00","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00"
"16","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4"
"16","Pretax Income","13,399.00","9,399.00","3,800.00","5,186.00","4,146.00","2,172.00","2,774.00"
"17","Net Income","10,007.00","6,902.00","2,900.00","4,213.00","3,167.00","1,268.00","1,455.00"
"17","Sales/Revenue","97,566.00","92,216.00","91,633.00","107,591.00","110,517.00","96,490.00","93,416.00"
"18","Cash & Short-Term Investments","98,378.00","83,540.00","85,084.00","78,206.00","60,239.00","49,889.00","48,222.00"
"19","Total Accounts Receivables","135,310.00","110,800.00","107,821.00","106,877.00","125,653.00","112,447.00","107,269.00"
"20","Inventories","81,080.00","87,904.00","100,982.00","106,338.00","99,466.00","113,275.00","122,277.00"
"21","Net Property, Plant & Equipment","193,502.00","196,658.00","201,752.00","203,228.00","204,016.00","206,123.00","210,643.00"
"22","Accrued Payable","50,228.00","50,490.00","63,739.00","61,674.00","55,316.00","54,778.00","61,053.00"
"23","Short Term Debt","10,022.00","11,413.00","-","9,387.00","19,775.00","18,388.00","17,258.00"
"24","Long Term Debt","14,138.00","12,930.00","11,208.00","10,032.00","9,142.00","10,489.00","10,573.00"
"25","Net Operating Cash Flow","(1,967.00)","3,757.00","14,253.00","1,245.00","(9,701.00)","4,031.00","7,718.00"
"26","Capital Expenditures","(6,649.00)","(35,340.00)","(9,946.00)","(6,211.00)","(7,624.00)","(6,821.00)","(7,821.00)"
"27","Total Shares Outstanding (million)","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00"
