"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","203,805.00","241,438.00","257,388.00","210,566.00","194,170.00","195,241.00","198,717.00","307,414.00","309,074.00","328,350.00"
"3","Pretax Income","15,042.00","32,258.00","21,393.00","28,054.00","34,881.00","36,220.00","21,023.00","64,713.00","65,689.00","84,303.00"
"4","Net Income","6,033.00","18,654.00","2,254.00","19,818.00","24,068.00","32,954.00","20,783.00","39,715.00","45,078.00","63,433.00"
"5","Cash & Short-Term Investments","111,058.00","126,026.00","166,067.00","157,905.00","140,351.00","163,357.00","123,022.00","187,461.00","187,032.00","297,565.00"
"6","Cash Only","109,940.00","125,854.00","164,623.00","144,469.00","130,679.00","147,842.00","119,474.00","179,036.00","176,755.00","279,728.00"
"7","Total Accounts Receivables","92,039.00","70,148.00","74,938.00","77,999.00","73,632.00","71,959.00","71,073.00","59,567.00","68,163.00","53,856.00"
"8","Inventories","182,851.00","172,366.00","153,955.00","141,282.00","129,885.00","113,628.00","123,502.00","133,876.00","142,324.00","143,566.00"
"9","Net Property, Plant & Equipment","2,362,195.00","2,591,834.00","2,410,323.00","2,591,620.00","2,097,433.00","2,118,572.00","2,081,598.00","2,456,338.00","2,329,384.00","2,300,372.00"
"10","Accrued Payable","95,326.00","99,297.00","107,356.00","87,078.00","85,992.00","75,022.00","93,336.00","97,258.00","132,756.00","188,380.00"
"11","Short Term Debt","719,356.00","536,540.00","551,874.00","559,881.00","579,804.00","690,378.00","647,328.00","651,277.00","562,839.00","522,258.00"
"12","Long Term Debt","752,283.00","898,187.00","896,317.00","847,987.00","784,425.00","623,737.00","589,887.00","575,672.00","558,998.00","591,650.00"
"13","Net Operating Cash Flow","53,709.00","87,864.00","76,970.00","44,283.00","47,522.00","67,363.00","51,517.00","107,661.00","122,528.00","111,845.00"
"14","Capital Expenditures","(19,617.00)","(42,993.00)","(8,509.00)","(16,398.00)","(19,590.00)","(13,312.00)","(8,843.00)","(9,780.00)","(13,122.00)","(14,222.00)"
"15","Total Shares Outstanding (million)","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51","1,380,173.51"
