"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","96,063.64","102,723.85","121,117.95","155,657.42","549,051.00","591,663.47","366,969.66","418,999.97","421,631.00"
"3","Pretax Income","12,116.02","24,265.34","59,367.50","19,686.58","50,757.00","21,541.28","(131,902.72)","90,361.44","82,049.00"
"4","Net Income","8,652.31","18,907.93","56,902.91","14,233.77","37,346.00","8,778.79","(121,148.70)","74,232.70","66,156.00"
"5","Cash & Short-Term Investments","2,574.72","11,727.51","9,747.62","25,396.32","85,435.00","204,966.36","20,675.52","14,478.57","23,311.00"
"6","Cash Only","2,574.72","11,727.51","9,747.62","25,396.32","85,435.00","15,492.74","20,675.52","13,776.23","22,605.00"
"7","Total Accounts Receivables","10,712.20","16,283.76","33,986.11","57,162.25","256,662.00","221,981.63","70,229.00","46,764.51","37,444.00"
"8","Inventories","1,206.94","-","-","-","-","-","-","287.26","246.00"
"9","Net Property, Plant & Equipment","363,481.20","360,988.17","435,908.21","536,698.06","643,966.00","707,244.16","807,581.60","794,646.46","778,342.00"
"10","Accrued Payable","951.05","2,242.13","3,637.19","2,808.69","-","-","328,616.80","-","208,055.00"
"11","Short Term Debt","41,481.51","50,505.97","44,618.97","44,844.76","285,836.00","384,662.82","121,289.77","138,585.76","148,608.00"
"12","Long Term Debt","226,984.19","198,838.93","218,160.44","287,004.95","295,676.00","301,487.35","293,922.35","261,829.51","229,889.00"
"13","Net Operating Cash Flow","36,320.61","46,984.59","25,660.42","30,292.56","(24,889.95)","156,910.01","223,452.23","90,291.05","92,773.05"
"14","Capital Expenditures","(52,133.53)","(18,242.42)","(101,822.10)","(129,022.17)","(149,963.04)","(123,564.86)","(163,004.71)","(65,471.48)","(65,743.48)"
"15","Total Shares Outstanding (million)","44,041.00","44,041.00","390,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4"
"16","Pretax Income","(14,126.72)","(61,761.00)","(36,609.00)","(34,562.00)","1,028.28","17,443.00","83,202.00","7,548.00","(17,832.00)"
"17","Net Income","(21,713.21)","(61,874.00)","(36,715.00)","(30,221.00)","7,661.30","17,207.00","83,155.00","7,301.00","(33,431.00)"
"17","Sales/Revenue","135,605.47","96,519.00","113,400.00","86,714.00","70,336.66","63,821.00","69,128.00","67,554.00","218,497.00"
"18","Cash & Short-Term Investments","214,807.84","24,960.00","19,165.00","21,742.00","20,675.52","17,404.00","18,922.00","19,959.00","14,478.57"
"19","Cash Only","25,334.22","24,960.00","19,165.00","21,742.00","20,675.52","17,404.00","18,922.00","19,959.00","13,776.23"
"20","Total Accounts Receivables","226,123.37","71,206.00","44,917.00","43,293.00","70,229.00","47,773.00","43,297.00","42,231.00","48,675.28"
"21","Inventories","-","-","-","-","-","-","-","-","287.26"
"22","Net Property, Plant & Equipment","707,244.16","702,878.00","807,012.00","810,909.00","807,581.60","790,726.00","781,142.00","798,787.00","794,646.46"
"23","Accrued Payable","-","-","235,567.00","290,268.00","328,616.80","306,883.00","207,019.00","236,068.00","213,715.27"
"24","Short Term Debt","384,662.82","75,353.00","81,289.00","67,150.00","121,289.77","109,482.00","119,793.00","118,604.00","138,585.76"
"25","Long Term Debt","301,487.35","305,044.00","374,131.00","366,757.00","293,922.35","269,029.00","262,464.00","244,415.00","261,829.51"
"26","Net Operating Cash Flow","38,065.01","118,914.00","45,303.00","46,421.00","12,814.23","27,350.00","4,269.00","57,563.00","1,109.05"
"27","Capital Expenditures","(16,048.86)","(11,375.00)","(119,063.00)","(19,675.00)","(12,891.71)","(386.00)","(10,108.00)","(35,340.00)","(19,637.48)"
"28","Total Shares Outstanding (million)","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00","504,000.00"
