"1","Financial Year","31-10-2009","31-10-2010","31-12-2012","31-12-2013","31-12-2014","31-03-2016","31-03-2017","31-03-2018","31-03-2018  TTM"
"2","Pretax Income","(2,603.40)","(11,358.69)","(484.41)","(7,484.91)","(6,236.80)","8,549.76","(3,633.72)","(19,332.00)","(19,332.00)"
"3","Consolidated Net Income","(2,378.62)","(8,399.53)","8,530.67","(7,031.07)","(6,067.67)","6,461.44","(7,099.18)","(16,368.00)","(16,368.00)"
"4","Cash & Short Term Investments","5,123.63","4,208.22","6,414.96","5,102.02","3,226.37","2,393.85","29,725.97","24,441.00",""
"5","Cash Only","3,810.41","3,120.62","6,414.96","5,102.02","3,226.37","2,393.85","29,725.97","24,441.00",""
"6","Total Accounts Receivable","17,035.55","24,986.45","25,669.12","22,268.28","26,859.44","40,481.79","4,647.27","10,587.00",""
"7","Net Property, Plant & Equipment","232,527.42","213,945.44","401,344.16","389,100.05","382,715.40","385,946.82","391,704.46","353,929.00",""
"8","Short-Term Debt (incl. Current Portion of LTD)","0.00","0.00","1,138.27","1,208.60","1,334.77","0.00","0.00","0.00",""
"9","Long Term Debt","2,344.12","4,861.76","2,525.80","1,340.49","3.87","0.00","0.00","0.00",""
"10","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",""
"11","Net Operating Cash Flow","(1,265.14)","(7,705.96)","2,675.30","555.95","(571.96)","620.94","27,638.26","(22,520.00)","(22,520.00)"
"12","Capital Expenditures (Total)","(1.59)","(16.86)","(282.79)","(763.91)","(120.82)","(114.82)","(346.66)","0.00","0.00"
"13","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"14","Total Shares Outstanding","344,020.64","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345.83"
"15","Dividend Yield (%)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16","Financial Year","31-12-2015 Oth","31-03-2016 Oth","30-06-2016 Q1","30-09-2016 Q2","31-12-2016 Q3","31-03-2017 Q4","30-06-2017 Q1","30-09-2017 Q2","31-12-2017 Q3"
"18","Pretax Income","(759.00)","15,815.00","9,970.00","(2,696.00)","1,150.00","(12,063.00)","(464.00)","(5,504.00)","(6,445.00)"
"19","Consolidated Net Income","(759.00)","12,693.00","6,993.00","(2,696.00)","1,150.00","(12,526.00)","(485.00)","(5,540.00)","(6,437.00)"
"20","Cash & Short Term Investments","2,429.00","2,393.85","2,392.00","35,564.00","22,509.00","29,725.97","16,943.00","16,528.00","11,910.00"
"21","Cash Only","2,429.00","2,393.85","2,392.00","35,564.00","22,509.00","29,725.97","16,943.00","15,455.00","10,822.00"
"22","Total Accounts Receivable","0.00","40,481.79","0.00","18,325.00","17,935.00","4,647.27","6,194.00","6,676.00","6,692.00"
"23","Net Property, Plant & Equipment","382,640.00","385,946.82","385,942.00","385,893.00","385,819.00","391,704.46","391,132.00","384,414.00","373,596.00"
"24","Short-Term Debt (incl. Current Portion of LTD)","158.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","Long Term Debt","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26","Accumulated Minority Interest - Total","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"27","Net Operating Cash Flow","192.00","208.94","(1.00)","33,175.00","(13,051.00)","7,515.26","(12,783.00)","(415.00)","(3,530.00)"
"28","Capital Expenditures (Total)","0.00","(86.82)","(1.00)","(3.00)","(4.00)","(338.66)","0.00","0.00","0.00"
"29","Dividends per Share (Cent)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30","Total Shares Outstanding","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98","345,830.98"
