"1","Financial Year","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","89,277.00","89,169.00","68,890.00"
"3","Pretax Income","14,400.00","7,648.00","9,742.00"
"4","Net Income","10,624.00","4,581.00","6,178.00"
"5","Cash & Short-Term Investments","70,046.00","73,706.00","104,101.00"
"6","Cash Only","27,856.00","23,187.00","51,525.00"
"7","Total Accounts Receivables","119,926.00","121,872.00","128,699.00"
"8","Inventories","11,838.00","17,532.00","16,102.00"
"9","Net Property, Plant & Equipment","29,589.00","30,429.00","30,253.00"
"10","Short Term Debt","33,304.00","46,549.00","40,126.00"
"11","Long Term Debt","319,856.00","316,667.00","314,325.00"
"12","Net Operating Cash Flow","48,241.00","1,883.00","2,402.00"
"13","Capital Expenditures","(4,465.00)","(4,653.00)","(408.00)"
"14","Total Shares Outstanding (million)","613,000.00","613,000.00","753,000.00"
"15","Financial Year","31-12-2014","31-12-2015","31-12-2016"
"16","Inventories","-","-","-"
"16","Sales/Revenue","324,028.00","206,344.00","227,854.00"
"17","Net Property, Plant & Equipment","26,187.00","25,530.00","25,562.00"
"17","Pretax Income","69,645.00","49,325.00","100,833.00"
"18","Net Income","55,558.00","37,778.00","73,639.00"
"18","Short Term Debt","1,083.00","1,301.00","22,100.00"
"19","Cash & Short-Term Investments","41,383.00","56,649.00","70,489.00"
"19","Long Term Debt","228,904.00","251,459.00","304,422.00"
"20","Cash Only","12,103.00","30,694.00","32,404.00"
"20","Net Operating Cash Flow","(21,411.00)","12,356.00","(7,366.00)"
"21","Capital Expenditures","(12,104.00)","(271.00)","(61,105.00)"
"21","Total Accounts Receivables","101,498.00","123,076.00","266,152.00"
"22","Total Shares Outstanding (million)","613,000.00","613,000.00","613,000.00"
