"1","Financial Year","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","30-06-2019","30-06-2020","31-03-2021       TTM","31-03-2021       TTM"
"2","Sales/Revenue","231,389.00","219,927.00","298,094.00","343,617.00","361,452.00","408,014.00","378,484.00","395,067.00","404,182.00","404,182.00"
"3","Pretax Income","36,144.00","41,541.00","73,282.00","79,350.00","37,049.00","14,278.00","3,804.00","5,192.00","11,066.00","11,066.00"
"4","Net Income","29,028.00","34,585.00","59,553.00","66,685.00","27,946.00","10,103.00","2,533.00","228.00","5,506.00","5,506.00"
"5","Cash & Short-Term Investments","55,624.00","76,639.52","207,718.00","144,269.00","85,084.00","48,222.00","63,635.00","46,341.00","44,736.00","44,736.00"
"6","Cash Only","-","29,237.00","22,689.00","50,194.00","35,594.00","18,543.00","41,434.00","40,253.00","-","-"
"7","Total Accounts Receivables","58,140.00","77,487.00","85,136.00","135,732.00","108,427.00","102,271.00","83,121.00","89,489.00","98,204.00","98,204.00"
"8","Inventories","47,221.00","40,470.00","51,031.00","63,790.00","100,982.00","122,277.00","119,628.00","128,884.00","135,885.25","135,885.25"
"9","Net Property, Plant & Equipment","116,980.00","86,173.00","129,295.00","180,934.00","201,730.00","210,643.00","220,735.00","248,997.00","254,325.75","254,325.75"
"10","Accrued Payable","-","16,179.00","17,662.00","19,584.00","26,277.00","22,880.00","24,475.00","27,357.00","77,694.25","77,694.25"
"11","Short Term Debt","29,897.00","11,214.00","13,491.00","9,783.00","10,230.00","17,258.00","24,612.00","29,992.00","43,202.75","43,202.75"
"12","Long Term Debt","10,965.00","10,380.00","9,391.00","16,112.00","11,208.00","10,573.00","9,056.00","22,525.00","24,584.00","24,584.00"
"13","Net Operating Cash Flow","40,197.00","25,576.00","45,270.00","43,749.00","19,111.00","3,293.00","32,275.00","28,023.00","15,858.00","15,858.00"
"14","Capital Expenditures","(17,623.00)","(9,914.00)","(46,315.00)","(49,757.00)","(59,879.00)","(28,477.00)","(19,046.00)","(24,212.00)","(44,923.00)","(44,923.00)"
"15","Total Shares Outstanding (million)","911,237.85","911,240.89","1,002,369.99","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00","1,002,375.00","1,053,460.76","1,002,375.00"
