"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","34,930.36","40,838.78","39,208.63","42,578.19","36,608.30","24,534.79","28,755.62","41,551.44","53,323.45","59,144.45"
"3","Pretax Income","7,173.55","8,379.55","4,840.03","2,826.98","(184.27)","(1,697.50)","1,037.96","1,884.52","2,230.86","3,839.86"
"4","Net Income","5,184.62","6,056.16","2,968.14","2,529.86","(349.00)","(1,608.46)","933.03","775.89","1,941.61","3,446.61"
"5","Cash & Short-Term Investments","2,210.95","3,173.35","14,932.26","5,030.71","1,298.40","2,368.46","2,624.54","2,982.68","8,349.50","10,355.00"
"6","Cash Only","1,803.73","2,754.88","14,500.44","2,456.04","917.22","971.10","1,192.85","1,505.80","4,189.23","6,159.00"
"7","Total Accounts Receivables","7,324.30","9,776.28","9,274.59","8,099.40","8,170.45","6,998.86","5,951.63","6,134.77","7,684.76","9,931.00"
"8","Inventories","2,487.52","3,705.82","6,374.36","10,307.60","13,099.81","12,502.92","14,354.70","16,386.93","14,307.17","11,147.00"
"9","Net Property, Plant & Equipment","22,675.26","34,587.94","40,875.90","56,914.58","58,508.94","61,434.88","53,311.24","50,001.29","46,795.06","46,029.00"
"10","Accrued Payable","3,061.31","-","-","-","-","-","1,046.21","1,605.77","2,033.85","1,381.00"
"11","Short Term Debt","859.30","2,767.96","2,331.31","5,449.11","9,356.77","5,214.69","7,496.38","5,399.86","2,286.86","1,595.00"
"12","Long Term Debt","7,164.18","15,836.49","18,834.25","18,986.00","19,847.93","18,772.79","13,885.59","12,525.75","15,041.87","14,691.00"
"13","Net Operating Cash Flow","7,732.65","3,924.04","1,190.98","5,168.03","(2,087.73)","1,690.48","2,177.63","4,370.09","7,841.82","9,906.82"
"14","Capital Expenditures","(4,824.10)","(3,436.97)","(2,990.82)","(12,437.18)","(6,106.41)","(3,209.66)","(442.22)","(1,245.65)","(1,064.85)","(1,011.85)"
"15","Total Shares Outstanding (million)","148,301.33","248,301.00","333,301.00","333,301.00","333,301.00","333,301.00","333,301.33","333,301.33","333,301.33","333,301.33"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"16","Pretax Income","1,216.96","171.00","288.00","332.00","1,093.52","183.00","938.00","644.00","465.86","1,792.00"
"17","Net Income","1,137.03","170.00","331.00","247.00","73.89","198.00","954.00","540.00","285.61","1,667.00"
"17","Sales/Revenue","13,037.62","11,249.00","8,669.00","10,209.00","11,424.44","9,363.00","13,423.00","14,167.00","16,370.45","15,184.00"
"18","Cash & Short-Term Investments","2,624.54","2,254.00","2,860.00","2,153.00","2,982.68","1,720.00","1,856.00","4,768.00","8,349.50","10,355.00"
"19","Cash Only","1,192.85","822.00","1,428.00","721.00","1,505.80","1,720.00","1,856.00","4,768.00","4,189.23","6,159.00"
"20","Total Accounts Receivables","5,951.63","6,976.00","3,964.00","7,075.00","6,134.77","7,453.00","10,144.00","7,917.00","7,684.76","9,931.00"
"21","Inventories","14,354.70","14,799.00","15,775.00","17,305.00","16,386.93","16,456.00","16,823.00","17,210.00","14,307.17","11,147.00"
"22","Net Property, Plant & Equipment","53,311.24","52,351.00","51,850.00","51,186.00","50,001.29","49,081.00","48,942.00","48,138.00","46,795.06","46,029.00"
"23","Accrued Payable","-","-","-","1,548.00","1,605.77","3,445.00","3,589.00","1,924.00","2,033.85","1,381.00"
"24","Short Term Debt","7,496.38","8,503.00","7,841.00","8,406.00","5,399.86","3,205.00","3,103.00","2,960.00","2,286.86","1,595.00"
"25","Long Term Debt","13,885.59","12,921.00","12,167.00","11,448.00","12,525.75","12,166.00","12,069.00","14,435.00","15,041.87","14,691.00"
"26","Net Operating Cash Flow","1,385.63","(999.00)","2,563.00","(26.00)","2,832.09","1,385.00","1,099.00","1,017.00","4,340.82","3,450.00"
"27","Capital Expenditures","(72.22)","(63.00)","(633.00)","(529.00)","(20.65)","(168.00)","(449.00)","(155.00)","(292.85)","(115.00)"
"28","Total Shares Outstanding (million)","333,301.00","333,301.00","333,301.00","333,301.33","333,301.33","333,301.33","333,301.33","333,301.33","333,301.33","333,301.33"
