"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","108,599.62","334,863.37","318,877.13","266,565.64","226,915.38","204,624.94","199,747.15","193,455.98"
"3","Pretax Income","11,978.30","17,554.84","56,400.46","(363,561.21)","(149,824.99)","(51,802.05)","(446,891.23)","(451,653.95)"
"4","Net Income","8,042.86","113,601.06","59,354.14","(364,086.73)","(152,746.88)","(62,099.69)","(451,188.06)","(450,206.64)"
"5","Cash & Short-Term Investments","53,951.86","47,302.79","74,818.21","95,354.01","58,720.09","47,757.74","51,006.94","47,371.03"
"6","Cash Only","37,098.59","32,170.94","66,067.90","95,354.01","50,380.73","40,886.50","44,695.04","-"
"7","Total Accounts Receivables","118,946.10","83,425.55","90,740.39","79,073.93","71,896.15","93,859.64","61,951.92","65,835.29"
"8","Inventories","471.43","1,376.03","1,543.73","1,605.70","3,033.18","3,169.26","668.14","608.11"
"9","Net Property, Plant & Equipment","1,036,703.16","1,203,594.35","1,378,168.44","1,288,422.87","1,191,849.91","1,114,208.81","627,763.59","618,793.84"
"10","Accrued Payable","-","-","-","-","-","-","-","60,864.56"
"11","Short Term Debt","145,121.46","402,642.17","129,477.60","181,144.84","206,664.82","337,123.87","600,131.78","601,075.41"
"12","Long Term Debt","888,740.68","700,609.81","539,005.78","541,872.32","505,560.53","347,027.45","50,376.52","47,628.50"
"13","Net Operating Cash Flow","30,186.54","192,453.20","166,091.95","146,049.14","99,715.97","67,468.74","77,243.89","68,107.22"
"14","Capital Expenditures","(62,318.05)","(274,637.42)","(246,982.08)","(139,329.83)","(87,226.77)","(15,400.43)","(8,049.93)","(9,725.81)"
"15","Total Shares Outstanding (million)","257,720.00","257,720.00","1,177,285.00","1,177,185.00","1,177,185.10","1,177,185.10","1,177,185.10","1,177,185.10"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3"
"16","Pretax Income","(152,990.15)","(7,508.62)","(2,386.09)","1,645.54","(43,552.88)","(5,748.33)","(3,467.27)","(9,325.97)"
"17","Net Income","(154,227.00)","(6,623.28)","(6,555.18)","205.22","(49,126.44)","(8,626.86)","(4,663.65)","(11,579.85)"
"17","Sales/Revenue","53,204.04","41,433.60","54,903.79","58,131.78","50,155.77","48,059.31","53,184.94","51,736.28"
"18","Cash & Short-Term Investments","58,720.09","49,593.15","40,452.84","36,634.93","47,757.74","43,811.85","43,361.67","59,167.37"
"19","Cash Only","58,720.09","49,593.15","40,452.84","-","-","-","-","-"
"20","Total Accounts Receivables","74,189.79","41,953.24","66,793.03","84,256.28","97,266.69","82,509.77","100,513.17","85,128.35"
"21","Inventories","3,033.18","3,833.68","5,380.97","4,325.00","3,169.26","139.86","357.22","2,094.96"
"22","Net Property, Plant & Equipment","1,191,849.91","1,185,042.20","1,179,682.85","1,168,166.02","1,114,208.81","1,102,067.16","1,086,430.22","1,073,481.38"
"23","Accrued Payable","-","-","49,384.75","54,398.70","71,113.59","54,580.29","60,749.66","60,788.89"
"24","Short Term Debt","206,664.82","217,394.97","241,474.23","287,659.30","337,123.87","342,568.95","356,951.36","609,895.24"
"25","Long Term Debt","505,560.53","480,374.61","451,034.02","402,576.64","347,027.45","329,320.78","312,080.10","56,658.27"
"26","Net Operating Cash Flow","(31,566.91)","19,985.51","16,102.47","9,044.69","22,336.07","20,842.66","11,640.23","26,227.75"
"27","Capital Expenditures","(5,254.84)","(4,055.51)","(8,547.65)","(3,652.03)","854.76","(1,262.68)","1,220.33","(673.33)"
"28","Total Shares Outstanding (million)","1,177,185.00","1,177,185.00","1,177,185.00","1,177,185.10","1,177,185.10","1,177,185.10","1,177,185.10","1,177,185.10"
