"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","35,424.25","38,804.32","37,499.60","36,133.45","26,882.29","17,792.07","23,457.88","-","-","-"
"3","Pretax Income","10,823.16","822.74","4,877.21","3,247.24","(2,125.25)","3,250.28","7,327.87","(2,360.19)","(566.87)","(401.87)"
"4","Net Income","8,102.65","6.74","5,209.81","2,098.83","(2,598.96)","2,200.05","5,906.23","56,904.76","(626.96)","(470.96)"
"5","Cash & Short-Term Investments","1,784.26","8,852.82","1,116.42","1,270.23","1,122.21","1,532.39","1,633.56","3,859.58","6,376.83","6,275.00"
"6","Cash Only","1,784.26","4,226.50","1,113.28","1,267.00","1,118.89","-","-","-","-","-"
"7","Total Accounts Receivables","14,763.09","12,866.15","10,968.28","15,338.01","8,321.45","7,664.99","8,657.40","3,537.07","517.17","523.00"
"8","Inventories","-","1,535.92","803.83","147.45","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","345.57","797.64","852.69","488.96","678.28","518.55","553.16","-","-","-"
"10","Accrued Payable","-","-","-","-","-","-","2,091.15","-","331.05","410.00"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","1,528.66","771.50","3,247.30","2,229.73","2,886.73","1,138.46","3,064.39","(6,558.50)","2,288.62","(1,075.38)"
"13","Capital Expenditures","(2,277.29)","(614.04)","(2,977.12)","(139.64)","(671.53)","(69.89)","(229.99)","(259.79)","-","-"
"14","Total Shares Outstanding (million)","133,000.00","134,640.00","134,640.00","134,640.00","134,640.00","134,640.00","134,640.02","134,640.02","134,640.02","134,640.02"
"15","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"16","Pretax Income","(3,598.14)","8,438.00","(3,807.00)","50,312.00","(312.00)","(333.00)","(315.00)","(183.00)","264.13","(168.00)"
"16","Sales/Revenue","7,924.88","6,077.00","7,487.00","1,809.00","-","-","-","-","-","-"
"17","Net Income","(4,213.77)","8,002.00","(1,107.00)","50,279.00","(312.00)","(331.00)","(311.00)","(259.00)","274.04","(175.00)"
"18","Cash & Short-Term Investments","1,633.56","2,598.00","9,189.00","4,405.00","3,859.58","7,081.00","6,813.00","6,677.00","6,376.83","6,275.00"
"19","Total Accounts Receivables","8,987.57","6,738.00","8,816.00","3,525.00","3,537.07","37.00","32.00","26.00","517.17","523.00"
"20","Net Property, Plant & Equipment","553.16","605.00","623.00","-","-","-","-","-","-","-"
"21","Accrued Payable","-","-","17,106.00","-","248.84","313.00","345.00","386.00","331.05","410.00"
"22","Short Term Debt","-","-","-","-","-","-","-","-","-","-"
"23","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"24","Net Operating Cash Flow","1,113.39","1,410.00","7,296.00","(18,773.00)","3,508.50","3,221.00","(292.00)","(176.00)","(464.38)","(143.00)"
"25","Capital Expenditures","(20.99)","(116.00)","(89.00)","(55.00)","0.21","-","-","-","-","-"
"26","Total Shares Outstanding (million)","134,640.00","134,640.00","134,640.02","134,640.02","134,640.02","134,640.02","134,640.02","134,640.02","134,640.02","134,640.02"
