"1","Financial Year","30-09-2019       Other","31-12-2019       1","31-03-2020       2","30-06-2020       3","30-09-2020       4","31-12-2020       1","31-03-2021       2","30-06-2021       3","30-09-2021       4","31-12-2021       1"
"2","Sales/Revenue","3,449.74","928.61","210.21","2,330.00","317.47","969.19","1,835.45","1,425.29","99.58","1,056.54"
"3","Pretax Income","(1,709.96)","(798.21)","(1,057.47)","(2,910.38)","722.32","(358.42)","(622.81)","(1.62)","(1,306.45)","(275.84)"
"4","Net Income","(824.73)","(760.62)","(1,030.06)","(2,072.78)","(1,057.89)","(343.77)","(614.31)","(2.82)","(1,269.36)","(275.84)"
"5","Cash & Short-Term Investments","267.22","273.41","232.51","249.08","261.27","313.33","245.86","210.43","345.64","1,730.91"
"6","Cash Only","121.61","127.80","86.90","103.48","123.12","174.60","106.56","70.60","205.29","1,590.04"
"7","Total Accounts Receivables","4,582.51","3,309.68","3,282.14","3,903.59","5,821.27","5,928.27","5,179.49","5,223.80","1,054.63","3,773.22"
"8","Inventories","-","-","-","-","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","1,261.32","896.41","529.14","234.10","362.88","300.04","269.90","240.84","216.91","212.74"
"10","Short Term Debt","1,073.06","996.21","1,048.57","1,059.72","1,131.95","1,160.61","1,159.77","842.55","872.25","786.93"
"11","Long Term Debt","40.80","35.23","35.23","24.08","187.02","169.58","150.64","150.64","150.64","110.80"
"12","Net Operating Cash Flow","1,177.46","72.15","(59.47)","99.57","136.78","84.90","455.03","284.27","1,183.68","(3,043.23)"
"13","Capital Expenditures","917.19","(35.77)","(1.99)","(7.23)","-","(10.34)","-","-","-","-"
"14","Total Shares Outstanding (million)","127,896.80","127,896.80","127,896.80","127,896.80","127,896.80","127,896.80","127,896.80","127,896.80","170,996.80","225,325.54"
