"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       Other","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","4,926.00","3,694.00","6.00","25.00","133.00","144.00","101.00","572.00","3,994.00","3,728.00"
"3","Pretax Income","9.00","(25.00)","(265.00)","(544.00)","(1,765.00)","(87.00)","245.00","189.00","4.00","(25,067.00)"
"4","Net Income","1,836.00","2,605.00","1,404.00","(3,819.00)","(350.00)","1,526.00","4,094.00","940.00","897.00","(20,775.00)"
"5","Cash & Short-Term Investments","5,428.00","1,596.00","96.00","187.00","11,104.00","10,739.00","10,822.00","10,520.00","20,245.00","21,381.00"
"6","Cash Only","5,428.00","1,596.00","96.00","187.00","3,104.00","391.00","474.00","71.00","9,727.00","7,012.00"
"7","Total Accounts Receivables","20,736.00","22,728.00","23,411.00","24,721.00","1,091.00","1,281.00","1,329.00","1,544.00","10,373.00","2,642.00"
"8","Inventories","-","-","-","-","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","-","-","-","600.00","187.00","187.00","187.00","187.00","333.00","151.00"
"10","Accrued Payable","29,069.00","27,258.00","26,784.00","26,031.00","-","-","-","-","-","-"
"11","Short Term Debt","-","-","-","7,750.00","7,750.00","7,750.00","8,000.00","8,000.00","8,000.00","8,000.00"
"12","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"13","Net Operating Cash Flow","(8,279.00)","13,347.00","(4,528.00)","13,640.00","(11,541.00)","2,601.00","6,828.00","15,893.00","18,359.00","52,978.00"
"14","Capital Expenditures","-","-","-","-","-","-","-","-","-","-"
"15","Total Shares Outstanding (million)","394,899.00","394,899.00","394,899.00","433,360.81","433,361.00","433,361.00","433,361.00","433,361.00","433,361.00","433,361.00"
