"1","Financial Year","30-09-2012","30-09-2013","30-09-2014","30-09-2015","30-09-2016","30-09-2017","30-09-2018","31-03-2019       TTM"
"2","Sales/Revenue","-","10,003.82","23,306.90","32,591.28","21,984.28","40,067.58","36,958.00","32,113.00"
"3","Pretax Income","1,069.54","1,005.36","8,025.54","9,101.75","(2,654.26)","7,551.59","5,336.65","4,052.65"
"4","Net Income","1,071.40","1,000.66","8,034.03","9,067.03","(2,735.02)","7,551.91","5,295.77","3,992.77"
"5","Cash & Short-Term Investments","4,622.11","2,842.18","4,555.11","34,939.81","26,757.01","24,346.37","23,610.47","16,145.00"
"6","Cash Only","941.94","1,002.06","2,922.03","32,858.98","2,437.04","6,373.17","6,528.37","3,725.00"
"7","Total Accounts Receivables","2,374.31","5,832.47","11,332.02","11,427.99","11,586.62","20,547.49","20,201.00","19,283.00"
"8","Inventories","4,461.20","4,729.55","7,344.10","11,629.92","10,958.31","17,597.35","20,341.08","19,156.00"
"9","Net Property, Plant & Equipment","1,449.03","2,208.22","2,930.32","4,332.50","5,065.33","6,366.67","6,504.18","13,550.00"
"10","Accrued Payable","895.69","1,360.79","1,268.35","3,374.74","-","-","-","-"
"11","Short Term Debt","46.46","32.97","14.89","5.24","-","643.21","630.74","530.00"
"12","Long Term Debt","1,958.17","2,739.03","128.24","127.75","-","2,247.51","1,831.50","1,567.00"
"13","Net Operating Cash Flow","1,364.47","(862.00)","2,622.06","8,088.10","(8,053.91)","(3,822.57)","1,919.58","4,968.58"
"14","Capital Expenditures","(99.44)","(1,026.27)","(1,098.98)","(1,999.17)","(1,529.85)","(2,304.11)","(2,303.95)","(11,071.95)"
"15","Total Shares Outstanding (million)","188,170.00","188,170.00","188,170.00","438,850.00","548,562.50","548,562.50","548,899.50","548,636.36"
"16","Financial Year","31-12-2016       1","31-03-2017       2","30-06-2017       3","30-09-2017       4","31-12-2017       1","31-03-2018       2","30-06-2018       3","30-09-2018       4"
"16","Pretax Income","634.00","2,380.00","2,442.00","2,098.59","1,030.00","1,782.00","2,205.00","318.65"
"17","Net Income","629.00","2,373.00","2,453.00","2,098.91","1,022.00","1,775.00","2,198.00","299.77"
"17","Sales/Revenue","5,596.00","10,762.00","11,964.00","11,745.58","9,441.00","11,246.00","9,538.00","6,733.00"
"18","Cash & Short-Term Investments","24,480.00","18,028.00","21,565.00","24,346.37","22,499.00","23,779.00","20,875.00","23,610.47"
"19","Cash Only","2,006.00","1,419.00","4,836.00","6,373.17","3,373.00","5,525.00","2,988.00","6,528.37"
"20","Total Accounts Receivables","14,031.00","22,169.00","21,844.00","20,547.49","22,477.00","23,504.00","25,776.00","20,201.00"
"21","Inventories","10,584.00","13,078.00","15,857.00","17,597.35","16,832.00","16,764.00","18,976.00","20,341.08"
"22","Net Property, Plant & Equipment","5,419.00","5,637.00","6,295.00","6,366.67","6,165.00","6,277.00","6,761.00","6,504.18"
"23","Accrued Payable","1,383.00","1,212.00","2,109.00","2,550.19","-","-","-","-"
"24","Short Term Debt","-","395.00","541.00","643.21","511.00","378.00","105.00","630.74"
"25","Long Term Debt","-","-","2,847.00","2,247.51","2,248.00","2,248.00","2,248.00","1,831.50"
"26","Net Operating Cash Flow","(180.00)","(8,100.00)","1,425.00","3,032.43","(1,795.00)","1,554.00","(1,557.00)","3,717.58"
"27","Capital Expenditures","(576.00)","(466.00)","(920.00)","(342.11)","(74.00)","(392.00)","(1,246.00)","(591.95)"
"28","Total Shares Outstanding (million)","438,850.00","438,850.00","438,850.00","548,562.50","548,562.50","548,562.50","548,562.50","548,899.50"
