"1","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","119,941.00","170,828.00","104,723.00","184,878.00","277,960.00","260,915.00","111,157.00","124,085.00","178,635.00","222,061.00"
"3","Pretax Income","23,914.00","29,862.00","54,745.00","20,470.00","36,822.00","17,662.00","17,646.00","12,595.00","19,715.00","23,688.00"
"4","Net Income","13,159.00","24,136.00","45,675.00","11,100.00","22,170.00","9,207.00","15,493.00","9,950.00","14,469.00","21,590.00"
"5","Cash & Short-Term Investments","14,841.00","24,850.00","22,235.00","56,927.00","80,410.00","78,460.00","168,067.00","90,040.00","101,162.00","121,482.00"
"6","Cash Only","14,841.00","24,850.00","22,235.00","18,137.00","28,691.00","26,741.00","118,608.00","40,581.00","50,496.00","71,441.00"
"7","Total Accounts Receivables","390,298.00","446,935.00","489,719.00","565,919.00","715,743.00","864,686.00","882,745.00","906,523.00","979,183.00","1,094,913.00"
"8","Inventories","70,432.00","59,846.00","51,770.00","51,172.00","76,723.00","30,475.00","33,882.00","34,291.00","26,875.00","22,375.00"
"9","Net Property, Plant & Equipment","62,088.00","64,775.00","70,236.00","73,319.00","76,053.00","78,850.00","83,177.00","84,453.00","87,157.00","85,980.00"
"10","Short Term Debt","215,153.00","222,111.00","-","257,314.00","287,930.00","326,087.00","363,149.00","369,640.00","294,389.00","376,779.00"
"11","Long Term Debt","218,227.00","268,119.00","278,239.00","275,039.00","282,866.00","273,554.00","373,010.00","392,382.00","474,346.00","461,654.00"
"12","Net Operating Cash Flow","62,217.00","(33,557.00)","(209,262.00)","(13,746.00)","(22,431.00)","(20,011.00)","(23,936.00)","(89,938.00)","16,035.00","(36,921.00)"
"13","Capital Expenditures","(102,317.00)","(68,132.00)","214,355.00","(4,321.00)","(4,015.00)","(4,025.00)","(4,621.00)","(214.00)","(1,603.00)","(986.00)"
"14","Total Shares Outstanding (million)","763,380.00","763,380.00","763,380.00","763,380.07","764,293.57","764,293.57","764,294.00","764,294.00","764,294.00","764,294.00"
"15","Financial Year","31-12-2011","31-12-2012","31-12-2013","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","",""
"16","Pretax Income","16,683.08","23,032.84","28,592.87","73,144.18","104,141.72","128,302.00","92,600.00","73,644.00","",""
"16","Sales/Revenue","130,947.00","136,098.20","181,765.69","394,822.19","517,550.59","498,319.00","834,910.00","635,938.00","",""
"17","Net Income","12,001.39","16,524.26","20,720.76","54,833.25","69,875.92","94,911.00","57,970.00","61,502.00","",""
"18","Cash & Short-Term Investments","15,738.08","13,238.84","17,503.58","30,235.98","16,030.73","48,451.00","163,025.00","121,482.00","",""
"19","Cash Only","15,738.08","13,238.84","17,503.58","30,235.98","16,030.73","22,150.00","113,566.00","71,441.00","",""
"20","Total Accounts Receivables","23,473.45","74,857.77","102,152.12","273,592.63","293,152.36","487,489.00","870,299.00","1,094,913.00","",""
"21","Inventories","17,482.82","13,038.26","62,656.53","83,156.11","69,233.49","39,517.00","33,882.00","22,375.00","",""
"22","Net Property, Plant & Equipment","10,143.50","16,689.36","24,511.57","35,544.26","45,333.30","70,247.00","83,177.00","85,980.00","",""
"23","Short Term Debt","15,412.68","22,593.70","57,778.17","148,974.61","217,025.09","232,433.00","363,149.00","376,779.00","",""
"24","Long Term Debt","2,593.19","3,280.19","9,281.00","38,640.82","113,597.73","275,016.00","373,010.00","461,654.00","",""
"25","Net Operating Cash Flow","500.15","(14,667.91)","(37,472.86)","(94,313.42)","83,304.34","(114,299.00)","(80,124.00)","(134,760.00)","",""
"26","Capital Expenditures","(902.18)","(5,962.87)","(4,869.33)","(4,487.77)","(233,907.74)","(24,992.00)","(16,982.00)","(7,424.00)","",""
"27","Total Shares Outstanding (million)","572,531.00","572,533.00","616,246.00","743,175.00","746,373.86","763,380.07","764,294.00","764,294.00","746,373.86","276,963.65"
