"1","Financial Year","30-06-2019       4","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other"
"2","Sales/Revenue","16,489.45","4,613.00","1,750.00","1,201.00","1,614.43","1,206.00","1,217.00","424.00","1,261.00","14,619.00"
"3","Pretax Income","4,186.61","616.00","(2,998.00)","(3,329.00)","(21,353.30)","(1,017.00)","(3,497.00)","(6,508.00)","(870.00)","(10,547.00)"
"4","Net Income","4,687.72","1,596.00","(3,586.00)","(3,690.00)","(21,296.65)","(804.00)","(3,528.00)","(6,508.00)","(1,094.00)","(10,126.00)"
"5","Cash & Short-Term Investments","18,200.85","20,340.00","21,110.00","18,840.00","19,609.00","38,037.00","33,581.00","36,309.00","113,116.00","101,803.00"
"6","Cash Only","17,455.44","19,595.00","20,365.00","18,343.00","18,615.00","37,232.00","32,776.00","35,323.00","112,412.00","101,295.00"
"7","Total Accounts Receivables","56,106.80","56,523.00","52,419.00","15,086.00","12,089.00","4,965.00","13,444.00","18,640.00","18,911.00","17,665.00"
"8","Net Property, Plant & Equipment","4,468.13","4,075.00","4,967.00","4,463.00","4,701.00","3,173.00","2,952.00","3,102.00","2,507.00","2,165.00"
"9","Short Term Debt","98.22","93.00","671.00","688.00","979.00","133.00","641.00","617.00","560.00","526.00"
"10","Long Term Debt","277.63","-","984.00","814.00","1,173.00","187.00","8.00","488.00","435.00","495.00"
"11","Net Operating Cash Flow","(5,599.36)","2,139.00","1,201.00","(1,630.00)","(1,847.00)","(2,082.00)","(10,341.00)","(5,031.00)","(3,951.00)","(3,204.00)"
"12","Capital Expenditures","(580.88)","(9.00)","(56.00)","(272.00)","(10,550.00)","(370.00)","(245.00)","(618.00)","91.00","(13,120.00)"
"13","Total Shares Outstanding (million)","508,563.51","-","508,563.51","508,563.51","508,563.51","706,903.27","1,164,984.36","291,267.59","926,719.09","926,719.09"
