"1","Financial Year","30-09-2019       1","31-12-2019       2","31-03-2020       3","30-06-2020       4","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       Other","30-09-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","887,446.00","987,406.00","698,935.00","677,365.00","812,102.00","877,767.00","885,061.00","781,418.00","647,272.00","838,133.00"
"3","Pretax Income","(54,350.00)","(94,576.00)","(159,592.00)","(243,604.00)","(24,944.00)","(47.00)","(167,165.00)","203,652.00","(76,664.00)","(27,021.00)"
"4","Net Income","(44,620.00)","(81,078.00)","(92,332.00)","(218,324.00)","(21,729.00)","(28,268.00)","(117,999.00)","130,628.00","(52,368.00)","(15,104.00)"
"5","Cash & Short-Term Investments","1,763,963.00","2,390,496.00","1,744,009.00","1,519,428.00","1,646,257.00","1,215,982.00","1,183,128.00","893,040.00","826,428.00","1,350,403.00"
"6","Cash Only","1,483,633.00","2,243,400.00","1,644,411.00","1,376,451.00","1,471,948.00","1,067,031.00","1,064,350.00","761,731.00","713,538.00","1,291,058.00"
"7","Total Accounts Receivables","528,152.00","450,562.00","481,219.00","464,619.00","468,714.00","670,333.00","587,025.00","677,731.00","665,728.00","452,537.00"
"8","Inventories","391,292.00","393,782.00","401,309.00","359,907.00","369,231.00","357,771.00","368,604.00","351,976.00","375,522.00","383,872.00"
"9","Net Property, Plant & Equipment","5,857,244.00","5,426,680.00","5,554,966.00","5,140,642.00","5,001,750.00","4,989,301.00","4,836,114.00","4,566,837.00","4,540,780.00","4,482,127.00"
"10","Accrued Payable","-","-","-","-","-","-","1,266,523.00","1,162,726.00","1,182,424.00","1,387,829.00"
"11","Short Term Debt","716,518.00","993,913.00","1,011,566.00","1,049,778.00","1,016,810.00","1,284,999.00","1,535,485.00","1,068,607.00","1,066,764.00","1,869,269.00"
"12","Long Term Debt","5,838,626.00","5,356,733.00","5,505,082.00","4,893,943.00","4,836,640.00","4,536,723.00","4,310,574.00","4,114,848.00","4,100,291.00","2,809,711.00"
"13","Net Operating Cash Flow","(14,264.00)","342,749.00","(354,686.00)","269,297.00","309,360.00","(172,649.00)","149,334.00","192,540.00","367,475.00","907,261.00"
"14","Capital Expenditures","(11,257.00)","(28,192.00)","(38,124.00)","(4,140.00)","(32,149.00)","(56,788.00)","(30,496.00)","(34,814.00)","(92,111.00)","(161,994.00)"
"15","Total Shares Outstanding (million)","1,093,902.00","1,093,902.00","1,093,902.00","1,120,624.00","1,093,902.00","1,093,902.00","1,093,902.00","1,110,702.12","1,120,624.00","1,118,902.05"
