"1","Financial Year","31-12-2018       4","31-03-2019       1","30-06-2019       2","30-09-2019       Other","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3"
"2","Sales/Revenue","548,158.00","538,701.00","471,491.00","465,892.00","446,870.00","357,913.00","126,039.00","367,907.00","350,470.00","374,798.00"
"3","Pretax Income","(80,073.00)","(41,785.00)","(71,651.00)","(42,357.00)","(44,740.00)","(38,616.00)","(79,717.00)","1,320.00","(6,398.00)","4,000.00"
"4","Net Income","(57,539.00)","(32,071.00)","(63,279.00)","(37,295.00)","(35,496.00)","(29,393.00)","(65,358.00)","(1,317.00)","(4,897.00)","3,635.00"
"5","Cash & Short-Term Investments","84,238.00","80,737.00","57,325.00","118,786.00","64,255.00","63,175.00","77,152.00","27,023.00","39,386.00","74,623.00"
"6","Cash Only","84,238.00","80,737.00","57,325.00","118,786.00","64,255.00","63,175.00","77,152.00","27,023.00","39,386.00","64,114.00"
"7","Total Accounts Receivables","525,066.00","524,677.00","418,574.00","425,031.00","505,017.00","509,255.00","251,541.00","371,636.00","320,213.00","396,101.00"
"8","Inventories","345,368.00","370,981.00","349,806.00","310,652.00","297,931.00","292,188.00","254,916.00","238,383.00","247,621.00","217,753.00"
"9","Net Property, Plant & Equipment","1,652,634.00","1,687,377.00","1,678,216.00","1,640,169.00","1,597,504.00","1,561,884.00","1,587,551.00","1,564,040.00","1,530,416.00","1,505,910.00"
"10","Short Term Debt","557,794.00","839,404.00","875,841.00","771,105.00","909,596.00","795,530.00","713,950.00","629,111.00","481,394.00","530,307.00"
"11","Long Term Debt","279,639.00","158,918.00","164,680.00","260,546.00","157,614.00","330,213.00","329,968.00","447,152.00","544,819.00","538,726.00"
"12","Net Operating Cash Flow","96,146.00","(42,463.00)","(14,365.00)","124,287.00","(17,135.00)","(3,053.00)","92,002.00","9,618.00","88,208.00","21,177.00"
"13","Capital Expenditures","(72,537.00)","(29,144.00)","(26,353.00)","(30,227.00)","(89,233.00)","(94,645.00)","(112,850.00)","(15,042.00)","(9,633.00)","(14,656.00)"
"14","Total Shares Outstanding (million)","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48","849,695.48"
