"1","Financial Year","31-12-2010","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","394,839.00","220,519.00","387,875.00","367,938.00","299,368.00","255,628.00","186,889.00","194,825.00","210,412.00"
"3","Pretax Income","30,653.00","13,933.00","(15,043.00)","(36,118.00)","(38,062.00)","(13,138.00)","(14,095.00)","(36,186.00)","7,961.00"
"4","Net Income","25,991.00","12,217.00","(20,698.00)","(37,186.00)","(41,297.00)","(15,843.00)","(9,560.00)","(20,356.00)","6,395.00"
"5","Cash & Short-Term Investments","206,206.00","31,522.00","38,619.00","45,038.00","61,094.00","53,529.00","74,441.00","55,605.00","47,712.00"
"6","Cash Only","-","21,981.00","22,348.00","22,832.00","26,933.00","31,305.00","-","-","-"
"7","Total Accounts Receivables","95,218.00","78,416.00","75,170.00","72,213.00","68,983.00","46,318.00","46,519.00","44,249.00","53,086.00"
"8","Inventories","47,232.00","50,772.00","52,475.00","50,265.00","45,449.00","37,124.00","28,157.00","26,486.00","29,109.00"
"9","Net Property, Plant & Equipment","252,594.00","269,446.00","248,066.00","217,172.00","259,117.00","294,218.00","251,877.00","209,177.00","224,683.00"
"10","Accrued Payable","68,706.00","60,583.00","-","-","-","-","28,963.00","28,279.00","35,581.00"
"11","Short Term Debt","37,334.00","34,686.00","37,090.00","33,177.00","30,779.00","18,659.00","19,206.00","13,386.00","14,311.00"
"12","Long Term Debt","206,901.00","35,398.00","33,568.00","22,845.00","16,649.00","18,694.00","14,815.00","9,729.00","7,668.00"
"13","Net Operating Cash Flow","52,122.00","21,378.00","26,894.00","34,187.00","18,610.00","27,784.00","461.00","12,456.00","17,861.00"
"14","Capital Expenditures","-","(13,040.00)","(11,907.00)","(7,758.00)","(13,873.00)","(34,164.00)","(17,882.00)","(16,292.00)","(27,491.00)"
"15","Total Shares Outstanding (million)","5,273,646.00","263,682.31","5,273,646.00","5,381,738.00","5,381,738.00","269,086.90","269,086.90","269,086.90","269,086.90"
"16","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2"
"16","Pretax Income","2,536.00","(398.00)","(20,459.00)","(646.00)","(39,114.00)","1,992.00","598.00","1,402.00","2,738.00"
"17","Net Income","(5,333.00)","(967.00)","(7,205.00)","(227.00)","(20,067.00)","356.00","(418.00)","956.00","2,666.00"
"17","Sales/Revenue","52,896.00","46,813.00","40,966.00","48,829.00","59,942.00","49,820.00","41,639.00","54,643.00","60,673.00"
"18","Cash & Short-Term Investments","53,481.00","79,092.00","74,441.00","66,121.00","58,803.00","53,848.00","55,605.00","49,996.00","45,670.00"
"19","Total Accounts Receivables","55,626.00","51,175.00","46,519.00","53,687.00","58,741.00","56,121.00","44,249.00","56,037.00","55,578.00"
"20","Inventories","33,450.00","31,417.00","28,157.00","29,502.00","28,440.00","26,650.00","26,486.00","25,163.00","28,100.00"
"21","Net Property, Plant & Equipment","272,695.00","274,110.00","251,877.00","250,027.00","210,638.00","201,048.00","209,177.00","214,388.00","224,505.00"
"22","Accrued Payable","45,338.00","33,370.00","28,963.00","31,234.00","42,610.00","33,573.00","28,279.00","33,261.00","34,418.00"
"23","Short Term Debt","17,384.00","17,454.00","19,206.00","19,414.00","15,284.00","14,315.00","13,386.00","13,777.00","14,979.00"
"24","Long Term Debt","17,517.00","16,104.00","14,815.00","12,495.00","11,631.00","10,657.00","9,729.00","8,932.00","7,897.00"
"25","Net Operating Cash Flow","4,749.00","2,585.00","(3,980.00)","(2,311.00)","8,524.00","(1,176.00)","7,419.00","(1,388.00)","3,897.00"
"26","Capital Expenditures","(5,100.00)","(4,928.00)","(5,722.00)","(2,888.00)","(7,533.00)","731.00","(6,602.00)","(4,678.00)","(11,687.00)"
"27","Total Shares Outstanding (million)","5,381,738.00","5,381,738.00","269,086.90","5,381,738.00","269,086.90","269,086.90","269,086.90","269,086.90","269,086.90"
