"1","Financial Year","31-08-2014","31-08-2015","31-08-2016","31-08-2017","31-08-2018","28-02-2019       TTM"
"2","Sales/Revenue","79,509.00","87,954.00","92,690.00","93,053.00","87,841.00","86,705.00"
"3","Pretax Income","16,885.00","21,410.00","22,230.00","11,451.00","4,210.00","2,750.00"
"4","Net Income","12,251.00","15,331.00","16,695.00","8,044.00","2,041.00","671.00"
"5","Cash & Short-Term Investments","26,290.00","8,338.00","25,885.00","10,246.00","6,164.00","8,252.00"
"6","Cash Only","26,251.00","8,299.00","15,686.00","10,246.00","6,164.00","8,252.00"
"7","Total Accounts Receivables","31,904.00","41,561.00","54,346.00","56,927.00","59,929.00","57,506.00"
"8","Inventories","20,215.00","37,060.00","47,869.00","65,188.00","73,462.00","73,081.00"
"9","Net Property, Plant & Equipment","30,261.00","30,872.00","42,581.00","44,306.00","53,941.00","52,994.00"
"10","Accrued Payable","-","-","22,351.00","20,351.00","18,992.00","17,510.00"
"11","Short Term Debt","5,827.00","9,333.00","10,519.00","16,267.00","26,097.00","24,636.00"
"12","Long Term Debt","198.00","99.00","9,517.00","20,429.00","16,558.00","14,887.00"
"13","Net Operating Cash Flow","1,108.00","4,460.00","1,674.00","(11,472.00)","(6,565.00)","3,520.00"
"14","Capital Expenditures","(6,764.00)","(3,509.00)","(9,074.00)","(3,916.00)","(1,492.00)","(1,883.00)"
"15","Total Shares Outstanding (million)","254,000.00","254,000.00","419,097.91","419,099.00","419,099.00","419,099.00"
"16","Financial Year","30-11-2016       1","28-02-2017       2","31-05-2017       3","31-08-2017       4","30-11-2017       1","28-02-2018       2"
"16","Pretax Income","6,379.00","7,083.00","3,532.00","(5,543.00)","6,306.00","6,706.00"
"17","Net Income","4,337.00","5,369.00","2,563.00","(4,225.00)","4,448.00","4,933.00"
"17","Sales/Revenue","31,211.00","27,173.00","21,687.00","12,982.00","29,478.00","26,493.00"
"18","Cash & Short-Term Investments","15,132.00","17,386.00","15,726.00","10,565.00","6,009.00","8,290.00"
"19","Cash Only","9,085.00","13,374.00","11,690.00","-","6,009.00","8,290.00"
"20","Total Accounts Receivables","72,522.00","64,305.00","60,374.00","56,399.00","72,148.00","65,530.00"
"21","Inventories","51,967.00","57,034.00","59,660.00","65,156.00","69,427.00","69,784.00"
"22","Net Property, Plant & Equipment","42,526.00","44,834.00","44,872.00","44,307.00","43,865.00","55,019.00"
"23","Accrued Payable","-","-","-","-","19,996.00","16,195.00"
"24","Short Term Debt","17,970.00","19,385.00","22,153.00","-","26,073.00","20,878.00"
"25","Long Term Debt","9,080.00","8,877.00","8,643.00","20,423.00","19,442.00","18,469.00"
"26","Net Operating Cash Flow","(16,695.00)","7,576.00","(635.00)","(1,718.00)","(12,476.00)","8,896.00"
"27","Capital Expenditures","(239.00)","(2,928.00)","(664.00)","(85.00)","(188.00)","(50.00)"
"28","Total Shares Outstanding (million)","279,399.00","279,399.00","419,096.00","419,096.00","419,099.00","419,099.00"
