"1","Financial Year","30-09-2019       3","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","1,966.00","2,418.00","1,534.00","835.20","2,604.00","3,296.00","2,359.00","1,369.57","1,060.00","1,965.00"
"3","Pretax Income","(1,233.00)","(992.00)","(1,259.00)","(2,217.65)","(1,163.00)","(536.00)","(902.00)","(2,156.04)","(1,435.00)","(632.00)"
"4","Net Income","(1,262.00)","(989.00)","(1,251.00)","(1,732.78)","(1,165.00)","(537.00)","(912.00)","(2,143.45)","(1,424.00)","(638.00)"
"5","Cash & Short-Term Investments","7,172.00","7,743.00","6,852.00","6,086.00","5,264.00","4,991.00","4,765.00","4,552.00","3,761.00","3,638.00"
"6","Cash Only","1,828.00","2,389.00","1,474.00","1,467.00","637.00","1,061.00","816.00","723.00","527.00","1,100.00"
"7","Total Accounts Receivables","7,024.00","6,037.00","5,570.00","4,848.00","6,325.00","6,988.00","6,818.00","6,404.00","5,697.00","4,912.00"
"8","Inventories","6,982.00","6,792.00","6,831.00","6,030.00","5,542.00","5,122.00","5,014.00","4,196.00","3,924.00","4,177.00"
"9","Net Property, Plant & Equipment","18,536.00","18,260.00","18,055.00","17,982.00","17,796.00","17,603.00","17,410.00","17,229.00","17,043.00","16,865.00"
"10","Short Term Debt","3,475.00","4,018.00","3,858.00","4,154.00","4,648.00","4,690.00","5,175.00","5,814.00","5,710.00","5,016.00"
"11","Long Term Debt","357.00","312.00","267.00","230.00","324.00","279.00","231.00","203.00","156.00","112.00"
"12","Net Operating Cash Flow","(1,567.00)","127.00","(1,308.00)","(169.00)","(1,338.00)","(248.00)","(637.00)","(758.00)","(565.00)","660.00"
"13","Capital Expenditures","(37.00)","(10.00)","(2.00)","49.00","(27.00)","(15.00)","-","(11.00)","(6.00)","(4.00)"
"14","Total Shares Outstanding (million)","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00","40,001.00"
