"1","Financial Year","31-03-2019       4","30-06-2019       Other","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2"
"2","Sales/Revenue","3,466,699.00","3,436,857.00","3,594,857.00","2,966,435.00","2,736,789.00","2,004,954.00","3,563,735.00","4,850,058.00","3,511,499.00","2,622,488.00"
"3","Pretax Income","328,794.00","146,722.00","131,024.00","(394,278.00)","(185,304.00)","(365,803.00)","142,424.00","948,779.00","36,311.00","(279,529.00)"
"4","Net Income","147,454.00","66,023.00","60,104.00","292,703.00","(161,901.00)","(297,937.00)","54,205.00","992,039.00","(11,042.00)","(211,513.00)"
"5","Cash & Short-Term Investments","4,322,552.00","3,275,891.00","5,530,442.00","5,647,670.00","8,435,738.00","8,499,393.00","6,718,749.00","6,493,430.00","3,635,466.00","4,247,922.00"
"6","Cash Only","2,313,696.00","2,558,082.00","3,592,549.00","3,586,374.00","4,124,845.00","4,888,492.00","3,875,625.00","5,369,711.00","3,018,465.00","3,417,692.00"
"7","Total Accounts Receivables","6,789,781.00","6,807,421.00","6,913,475.00","7,028,577.00","6,846,519.00","6,819,771.00","7,020,541.00","7,485,138.00","7,266,380.00","7,616,954.00"
"8","Inventories","2,550,799.00","2,704,375.00","2,439,364.00","2,220,513.00","2,156,050.00","2,309,085.00","2,266,317.00","1,924,846.00","2,010,043.00","2,153,533.00"
"9","Net Property, Plant & Equipment","6,100,951.00","6,344,913.00","6,427,057.00","6,433,898.00","6,373,175.00","6,222,479.00","6,246,379.00","6,182,082.00","6,110,416.00","5,983,421.00"
"10","Accrued Payable","-","-","-","-","4,569,044.00","4,437,086.00","4,800,902.00","4,658,863.00","4,656,876.00","4,328,269.00"
"11","Short Term Debt","2,793,116.00","2,768,408.00","3,152,913.00","2,057,369.00","2,047,346.00","2,414,110.00","1,982,547.00","2,284,650.00","3,102,640.00","3,363,494.00"
"12","Long Term Debt","4,126,748.00","4,523,034.00","4,370,791.00","5,324,951.00","5,502,187.00","5,830,830.00","6,158,588.00","6,268,536.00","5,466,056.00","6,352,350.00"
"13","Net Operating Cash Flow","(256,181.00)","200,081.00","1,045,072.00","636,710.00","1,637,225.00","(138,237.00)","(536,360.00)","567,102.00","(1,778,530.00)","(33,436.00)"
"14","Capital Expenditures","(319,529.00)","(56,452.00)","(98,276.00)","(5,684.00)","(133,739.00)","(220,382.00)","(173,801.00)","(363,021.00)","(196,066.00)","(94,674.00)"
"15","Total Shares Outstanding (million)","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.05","1,933,237.00","1,933,237.00"
