"1","Financial Year","31-07-2019       2","31-10-2019       3","31-01-2020       4","31-03-2020       Other","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       2"
"2","Sales/Revenue","5,463.00","5,301.00","4,058.00","24,174.00","1,723.00","4,968.00","7,486.00","24,857.00","2,845.00","9,292.00"
"3","Pretax Income","6,619.00","640.00","(6,584.00)","(22,833.00)","(7,473.00)","(8,992.00)","(6,652.00)","(9,483.00)","(5,808.00)","(7,567.00)"
"4","Net Income","6,774.00","804.00","(6,428.00)","(22,703.00)","(7,342.00)","(8,873.00)","(7,698.00)","(6,568.00)","(5,796.00)","(7,556.00)"
"5","Cash & Short-Term Investments","4,972.00","5,501.00","4,011.00","3,931.00","2,589.00","2,401.00","2,326.00","3,376.00","2,132.00","2,727.00"
"6","Cash Only","4,929.00","5,452.00","3,981.00","3,695.00","2,522.00","2,333.00","2,268.00","3,318.00","2,063.00","2,658.00"
"7","Total Accounts Receivables","40,164.00","42,406.00","42,056.00","108,273.00","103,481.00","43,082.00","44,523.00","111,105.00","94,165.00","90,645.00"
"8","Inventories","65,006.00","66,054.00","66,600.00","49,788.00","49,184.00","49,703.00","49,705.00","49,664.00","49,832.00","49,516.00"
"9","Net Property, Plant & Equipment","1,239.00","1,228.00","1,144.00","1,108.00","1,047.00","988.00","883.00","885.00","823.00","761.00"
"10","Accrued Payable","143,835.00","145,577.00","145,414.00","347,649.00","351,502.00","150,407.00","125,305.00","138,223.00","135,108.00","135,046.00"
"11","Short Term Debt","9,092.00","30,044.00","74,969.00","75,219.00","75,201.00","75,475.00","32,610.00","3,114.00","116.00","117.00"
"12","Long Term Debt","59,476.00","43,399.00","399.00","394.00","365.00","338.00","40,319.00","69,788.00","73,218.00","73,313.00"
"13","Net Operating Cash Flow","(13,694.00)","(4,678.00)","(3,582.00)","(3,004.00)","(1,655.00)","(1,795.00)","(55,312.00)","(69,933.00)","7,134.00","441.00"
"14","Capital Expenditures","(846.00)","(114.00)","-","-","-","-","(130.00)","(202.00)","(11.00)","-"
"15","Total Shares Outstanding (million)","4,292,644.00","4,295,280.00","4,295,280.00","4,295,280.00","4,292,644.00","4,292,644.00","4,292,644.00","4,292,644.00","4,292,644.00","4,292,644.00"
