"1","Financial Year","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       Other","30-06-2019       Other","30-09-2019       1"
"2","Sales/Revenue","-","-","-","-","-","-","-","-","-","-"
"3","Pretax Income","(16.46)","(50.10)","(102.56)","(584.00)","(9.76)","(18.07)","53.46","(43.16)","(312.23)","(1,467.86)"
"4","Net Income","(16.46)","(50.10)","(102.56)","(584.00)","(9.76)","(18.07)","53.46","(43.16)","(312.23)","(1,467.86)"
"5","Cash & Short-Term Investments","16.46","16.49","16.16","49.00","29.90","29.52","29.43","29.79","29.48","28.69"
"6","Cash Only","16.46","16.49","16.16","49.00","29.90","29.52","29.43","29.79","29.48","28.69"
"7","Total Accounts Receivables","-","-","-","-","-","-","-","-","-","-"
"8","Inventories","-","-","-","-","-","-","-","-","-","-"
"9","Net Property, Plant & Equipment","-","-","-","-","-","-","-","-","-","-"
"10","Accrued Payable","-","-","2,141.24","-","-","-","-","-","-","-"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","-","-","-","-","-","-","-","-","-","-"
"13","Capital Expenditures","-","-","-","-","-","-","-","-","-","-"
"14","Total Shares Outstanding (million)","606,764.00","606,764.00","606,764.00","606,841.50","606,841.50","606,841.50","606,841.50","606,841.50","606,841.50","606,841.50"
