"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","88,325.00","138,602.22","152,041.11","185,892.02","315,902.94","401,512.93","492,189.00","457,221.00","463,198.00"
"3","Pretax Income","12,330.00","19,043.17","21,158.78","23,756.55","37,332.51","41,698.97","45,002.00","44,212.00","43,653.00"
"4","Net Income","8,523.00","13,148.14","13,581.85","15,586.67","24,754.77","26,573.69","24,629.00","24,276.00","24,481.00"
"5","Cash & Short-Term Investments","11,004.00","18,603.89","24,921.49","74,215.61","163,862.24","129,510.63","118,884.00","76,689.00","83,139.00"
"6","Cash Only","9,749.00","11,473.38","16,694.64","-","26,596.95","113,654.30","77,388.00","54,181.00","67,059.00"
"7","Total Accounts Receivables","28,563.00","54,158.17","57,748.96","95,960.18","170,242.01","242,676.67","276,694.00","279,691.00","285,020.00"
"8","Inventories","8,859.00","13,102.80","18,200.76","23,873.30","30,935.26","50,368.20","70,791.00","72,422.00","75,772.00"
"9","Net Property, Plant & Equipment","14,873.00","35,254.72","68,199.82","64,468.87","87,988.50","268,548.03","383,457.00","463,043.00","598,003.00"
"10","Accrued Payable","-","-","-","-","-","74,815.28","84,507.00","89,676.00","118,942.00"
"11","Short Term Debt","20,515.00","25,283.65","40,924.28","32,209.00","48,618.60","81,843.18","268,159.00","171,418.00","204,867.00"
"12","Long Term Debt","6,966.00","17,965.21","19,511.53","32,279.72","41,030.35","65,214.02","180,134.00","324,236.00","389,226.00"
"13","Net Operating Cash Flow","938.00","(8,222.67)","16,496.64","(4,929.49)","(29,945.45)","(31,038.52)","5,771.00","45,388.00","136,496.00"
"14","Capital Expenditures","(882.00)","(6,572.04)","(34,271.45)","(4,735.87)","(22,569.51)","(127,414.45)","(81,411.00)","(108,211.00)","(138,291.00)"
"15","Total Shares Outstanding (million)","443,334.00","443,334.00","487,667.00","602,710.00","792,241.00","871,465.46","871,473.00","871,473.00","871,473.00"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4"
"17","Sales/Revenue","107,139.93","106,520.00","119,264.00","125,238.00","141,168.00","97,516.00","115,548.00","109,783.00","134,374.00"
"18","Pretax Income","15,505.97","9,096.00","11,450.00","12,290.00","12,166.00","8,793.00","8,742.00","15,099.00","11,578.00"
"19","Net Income","11,949.69","4,723.00","5,982.00","6,891.00","7,034.00","5,130.00","4,221.00","7,790.00","7,135.00"
"20","Cash & Short-Term Investments","129,510.63","90,410.00","79,907.00","88,548.00","118,884.00","100,937.00","107,802.00","91,087.00","76,689.00"
"21","Cash Only","113,654.30","68,237.00","57,284.00","67,617.00","77,388.00","80,335.00","87,595.00","70,387.00","54,181.00"
"22","Total Accounts Receivables","307,780.84","291,213.00","305,319.00","323,780.00","323,514.00","291,029.00","295,315.00","283,272.00","336,656.00"
"23","Inventories","50,368.20","104,118.00","108,339.00","72,700.00","70,791.00","82,542.00","79,566.00","88,519.00","72,422.00"
"24","Net Property, Plant & Equipment","268,548.03","327,936.00","318,938.00","361,700.00","383,457.00","387,118.00","414,042.00","450,329.00","463,043.00"
"25","Accrued Payable","-","-","-","129,176.00","160,351.00","110,279.00","97,385.00","119,795.00","121,362.00"
"26","Short Term Debt","81,843.18","87,545.00","223,317.00","234,031.00","268,159.00","283,113.00","273,619.00","155,953.00","171,418.00"
"27","Long Term Debt","65,214.02","267,800.00","152,835.00","199,646.00","180,134.00","177,855.00","235,868.00","351,727.00","324,236.00"
"28","Net Operating Cash Flow","(15,949.52)","(16,145.00)","(18,313.00)","4,563.00","35,666.00","(18,120.00)","7,094.00","48,934.00","7,480.00"
"29","Capital Expenditures","(12,504.45)","(17,295.00)","(2,140.00)","(49,223.00)","(12,753.00)","(11,426.00)","(35,161.00)","(45,020.00)","(16,604.00)"
"30","Total Shares Outstanding (million)","871,465.00","871,465.00","871,465.00","871,465.00","871,473.00","871,473.00","871,473.00","871,473.00","871,473.00"
