"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","299,866.00","341,125.91","428,565.86","459,221.02","596,619.02"
"3","Pretax Income","10,352.00","3,216.83","2,988.58","(5,295.03)","17,984.97"
"4","Net Income","7,050.00","1,851.57","1,115.04","(8,127.78)","12,021.22"
"5","Cash & Short-Term Investments","29,882.00","21,998.89","2,776.93","6,791.98","9,659.00"
"6","Total Accounts Receivables","58,828.00","95,223.78","117,669.96","130,696.66","134,837.00"
"7","Inventories","55,238.00","60,413.76","79,644.49","103,120.84","100,413.00"
"8","Net Property, Plant & Equipment","60,225.00","60,301.85","73,185.84","71,835.59","95,975.00"
"9","Accrued Payable","-","31,208.44","25,627.28","34,861.49","36,840.00"
"10","Short Term Debt","64,419.00","102,169.05","133,590.78","171,110.37","164,723.00"
"11","Long Term Debt","13,591.00","14,703.89","19,544.49","20,418.79","20,273.00"
"12","Net Operating Cash Flow","17,262.00","(47,667.54)","(33,452.97)","(25,262.96)","15,573.04"
"13","Capital Expenditures","(23,748.00)","(2,005.95)","(5,264.42)","(3,471.75)","(2,352.75)"
"14","Total Shares Outstanding (million)","368,277.00","510,277.00","510,277.00","510,277.00","510,277.00"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2"
"16","Pretax Income","1,209.00","418.00","1,018.58","360.00","(156.00)"
"16","Sales/Revenue","114,546.00","108,310.00","116,843.86","106,555.00","93,803.00"
"17","Net Income","913.00","716.00","(759.97)","125.00","78.00"
"18","Cash & Short-Term Investments","17,219.00","3,038.00","2,777.00","7,682.00","7,260.00"
"19","Total Accounts Receivables","104,382.00","104,358.00","117,902.00","116,723.00","103,919.00"
"20","Inventories","79,178.00","97,928.00","80,423.00","69,330.00","77,403.00"
"21","Net Property, Plant & Equipment","62,196.00","68,173.00","73,186.00","72,919.00","73,363.00"
"22","Accrued Payable","12,098.00","17,251.00","26,807.00","17,566.00","17,520.00"
"23","Short Term Debt","146,067.00","145,500.00","133,590.00","133,937.00","129,050.00"
"24","Long Term Debt","13,865.00","18,415.00","19,545.00","20,310.00","20,705.00"
"25","Net Operating Cash Flow","(15,602.00)","(7,094.00)","14,475.03","5,671.00","6,773.00"
"26","Capital Expenditures","(1,956.00)","(1,193.00)","(532.42)","(708.00)","(1,618.00)"
"27","Total Shares Outstanding (million)","510,277.00","510,277.00","510,277.00","510,277.00","510,277.00"
