"1","Financial Year","28-02-2017","28-02-2018","28-02-2019","29-02-2020","28-02-2021","28-02-2022       TTM","","",""
"2","Sales/Revenue","114,509.00","124,193.00","134,373.00","134,287.86","110,590.00","124,930.00","","",""
"3","Pretax Income","5,771.00","6,612.00","9,167.00","9,946.89","5,132.00","9,016.00","","",""
"4","Net Income","3,836.00","4,333.00","6,871.00","7,667.28","2,846.00","7,063.00","","",""
"5","Cash & Short-Term Investments","4,843.00","6,523.00","9,711.00","5,854.79","25,708.00","25,561.75","","",""
"6","Cash Only","4,843.00","6,523.00","9,711.00","5,854.79","25,708.00","25,561.75","","",""
"7","Total Accounts Receivables","31,712.00","29,257.00","30,685.00","32,899.35","36,193.00","34,487.25","","",""
"8","Inventories","19,047.00","24,066.00","29,623.00","35,381.29","38,869.00","41,443.75","","",""
"9","Net Property, Plant & Equipment","13,817.00","17,911.00","22,107.00","23,436.94","22,127.00","33,125.75","","",""
"10","Accrued Payable","33,241.00","31,209.00","35,516.00","31,063.44","36,418.00","34,951.00","","",""
"11","Short Term Debt","9,114.00","11,778.00","17,213.00","19,052.22","17,116.00","16,037.00","","",""
"12","Long Term Debt","4,229.00","6,149.00","9,127.00","9,380.60","7,561.00","15,352.00","","",""
"13","Net Operating Cash Flow","495.00","2,157.00","4,943.00","(3,190.16)","4,420.00","6,943.00","","",""
"14","Capital Expenditures","(959.00)","(1,371.00)","(3,637.00)","(1,620.12)","(410.00)","(5,636.00)","","",""
"15","Total Shares Outstanding (million)","242,000.00","242,000.00","242,000.00","242,000.00","330,793.00","347,371.00","242,000.00","345,960.38","345,960.38"
