"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","1,448,475.00","1,839,593.00","1,880,707.00","1,916,859.00","1,788,844.00","2,076,290.00","2,256,835.00","2,167,642.00"
"3","Pretax Income","81,885.00","89,812.00","151,264.00","140,750.00","153,677.00","174,195.00","183,066.00","179,489.00"
"4","Net Income","54,788.00","66,926.00","124,819.00","127,164.00","123,519.00","137,830.00","144,681.00","139,849.00"
"5","Cash & Short-Term Investments","107,622.00","133,085.00","278,417.00","468,477.00","465,768.00","487,240.00","484,869.00","579,514.00"
"6","Cash Only","75,380.00","57,160.00","65,909.00","112,922.00","88,233.00","487,240.00","56,483.00","69,511.00"
"7","Total Accounts Receivables","1,061,664.00","1,012,922.00","739,640.00","724,208.00","942,491.00","1,208,011.00","1,014,172.00","1,011,202.00"
"8","Inventories","21,908.00","25,518.00","20,203.00","17,293.00","23,950.00","24,429.00","29,981.00","30,057.00"
"9","Net Property, Plant & Equipment","150,627.00","180,895.00","178,728.00","161,783.00","138,381.00","149,844.00","163,200.00","167,014.00"
"10","Accrued Payable","-","-","-","-","-","-","-","897,497.00"
"11","Short Term Debt","45,155.00","75,057.00","135,132.00","-","-","-","-","-"
"12","Long Term Debt","18,006.00","15,410.00","69.00","-","-","-","-","11,210.00"
"13","Net Operating Cash Flow","51,041.00","83,138.00","183,929.00","239,646.00","85,616.00","62,834.00","189,194.00","71,250.00"
"14","Capital Expenditures","(56,811.00)","(49,404.00)","(45,732.00)","(38,673.00)","(19,016.00)","(54,688.00)","(56,169.00)","(19,481.00)"
"15","Total Shares Outstanding (million)","1,292,900.00","1,292,900.00","1,292,900.00","1,292,900.00","1,292,900.00","1,292,246.00","1,292,246.01","1,292,246.01"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3"
"17","Sales/Revenue","553,149.00","419,531.00","417,232.00","491,360.00","748,167.00","529,228.00","544,275.00","557,317.00"
"18","Pretax Income","37,646.00","44,164.00","42,768.00","43,072.00","44,191.00","43,704.00","45,168.00","46,927.00"
"19","Net Income","32,064.00","34,659.00","36,763.00","34,586.00","31,822.00","35,850.00","35,857.00","36,413.00"
"20","Cash & Short-Term Investments","465,768.00","373,418.00","464,545.00","468,992.00","487,240.00","502,311.00","574,759.00","449,373.00"
"21","Cash Only","465,768.00","373,418.00","464,545.00","468,992.00","487,240.00","62,072.00","45,096.00","38,386.00"
"22","Total Accounts Receivables","951,126.00","793,352.00","873,811.00","1,003,937.00","1,217,200.00","1,038,167.00","1,112,406.00","1,239,266.00"
"23","Inventories","23,950.00","18,626.00","22,142.00","27,029.00","24,429.00","29,826.00","35,734.00","30,735.00"
"24","Net Property, Plant & Equipment","138,381.00","138,017.00","134,112.00","146,629.00","149,844.00","174,924.00","173,393.00","169,482.00"
"25","Accrued Payable","-","-","-","968,149.00","241,772.00","1,108,705.00","1,201,153.00","1,227,026.00"
"26","Short Term Debt","-","93,516.00","100,482.00","140,952.00","-","-","-","-"
"27","Long Term Debt","-","-","-","-","-","-","-","-"
"28","Net Operating Cash Flow","87,053.00","(13,603.00)","44,509.00","(3,910.00)","35,838.00","178,096.00","52,786.00","(49,521.00)"
"29","Capital Expenditures","(4,248.00)","(6,777.00)","(5,473.00)","(27,071.00)","(15,367.00)","(37,033.00)","(8,708.00)","(6,267.00)"
"30","Total Shares Outstanding (million)","1,292,900.00","1,292,900.00","1,291,346.00","1,291,346.00","1,292,246.00","1,292,246.00","1,292,246.00","1,292,246.00"
