"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       Other","31-03-2021       Other","30-06-2021       Other","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","727.00","3,948.00","8,290.00","2,246.00","2,893.00","2,786.00","1,193.00","479.00","2,142.00","2,066.00"
"3","Pretax Income","32.00","(109.00)","248.00","12.00","53.00","11.00","70.00","(10,122.00)","30.00","4.00"
"4","Net Income","32.00","(108.00)","248.00","12.00","53.00","(36.00)","70.00","107.00","30.00","4.00"
"5","Cash & Short-Term Investments","177.00","195.00","154.00","197.00","259.00","282.00","1,069.00","101.00","140.00","126.00"
"6","Cash Only","177.00","195.00","154.00","197.00","259.00","-","-","-","-","-"
"7","Total Accounts Receivables","10,855.00","9,370.00","9,874.00","10,065.00","10,190.00","10,265.00","9,607.00","4,672.00","4,882.00","4,860.00"
"8","Inventories","213.00","180.00","167.00","171.00","171.00","180.00","181.00","-","-","-"
"9","Net Property, Plant & Equipment","123.00","59.00","54.00","49.00","60.00","59.00","53.00","47.00","62.00","157.00"
"10","Accrued Payable","9,096.00","5,380.00","7,891.00","8,111.00","8,256.00","8,348.00","8,405.00","4,812.00","5,028.00","5,083.00"
"11","Short Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Long Term Debt","-","-","-","-","-","-","-","-","20.00","20.00"
"13","Net Operating Cash Flow","8.00","18.00","(40.00)","43.00","78.00","27.00","895.00","1,515.00","39.00","88.00"
"14","Capital Expenditures","-","-","(1.00)","-","(16.00)","(4.00)","(21.00)","(21.00)","-","(102.00)"
"15","Total Shares Outstanding (million)","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00","82,000.00"
