"1","Financial Year","30-06-2011","30-06-2012","30-06-2013","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM"
"2","Sales/Revenue","158,422.00","368,868.00","325,787.00","245,575.00","163,439.00","123,527.00","115,579.00","141,304.00","326,470.00"
"3","Pretax Income","12,639.00","23,291.00","26,121.00","30,686.00","(5,161.00)","6,287.00","(3,516.00)","(24,452.00)","3,840.00"
"4","Net Income","8,312.00","13,984.00","17,077.00","17,219.00","(8,246.00)","3,452.00","(4,263.00)","(25,388.00)","2,866.00"
"5","Cash & Short-Term Investments","14,058.00","20,581.00","23,766.00","16,561.00","22,294.00","29,523.00","47,215.00","34,775.00","61,473.00"
"6","Cash Only","14,058.00","20,581.00","23,766.00","16,561.00","11,272.00","15,790.00","10,560.00","9,232.00","15,088.00"
"7","Total Accounts Receivables","45,763.00","86,126.00","79,815.00","94,562.00","97,169.00","42,124.00","42,045.00","59,144.00","83,983.00"
"8","Net Property, Plant & Equipment","13,598.00","16,881.00","14,282.00","53,065.00","131,488.00","146,380.00","138,255.00","117,308.00","115,567.00"
"9","Accrued Payable","-","-","-","-","-","8,931.00","12,788.00","-","-"
"10","Short Term Debt","469.00","7,551.00","5,221.00","8,689.00","14,017.00","-","16,173.00","13,965.00","12,936.00"
"11","Long Term Debt","2,678.00","6,801.00","5,677.00","33,210.00","30,383.00","80,806.00","64,809.00","51,123.00","42,150.00"
"12","Net Operating Cash Flow","4,525.00","12,204.00","13,980.00","6,810.00","64,502.00","(16,593.00)","10,302.00","(7,158.00)","38,306.00"
"13","Capital Expenditures","(5,484.00)","(855.00)","(237.00)","(9,323.00)","(81,494.00)","(32,639.00)","(699.00)","(448.00)","(1,299.00)"
"14","Total Shares Outstanding (million)","1,000.00","1,000.00","1,000.00","1,000.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00"
"15","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2"
"16","Sales/Revenue","31,323.00","22,989.00","28,421.00","24,734.00","40,253.00","24,873.00","51,444.00","84,087.00","96,255.00"
"17","Pretax Income","(2,309.00)","(4,054.00)","1,076.00","(71.00)","(3,297.00)","(5,113.00)","(15,970.00)","11,643.00","5,326.00"
"18","Net Income","(2,587.00)","(4,917.00)","1,597.00","(276.00)","(3,606.00)","(5,261.00)","(16,243.00)","11,715.00","5,263.00"
"19","Cash & Short-Term Investments","37,331.00","43,640.00","47,085.00","47,271.00","44,506.00","36,925.00","34,775.00","37,311.00","49,481.00"
"20","Cash Only","16,114.00","22,240.00","10,430.00","12,306.00","14,744.00","9,423.00","9,232.00","16,004.00","21,428.00"
"21","Total Accounts Receivables","35,045.00","37,233.00","40,969.00","51,037.00","48,083.00","44,353.00","59,144.00","81,290.00","115,148.00"
"22","Net Property, Plant & Equipment","143,799.00","142,101.00","138,255.00","136,599.00","135,148.00","133,494.00","117,308.00","116,935.00","115,630.00"
"23","Accrued Payable","-","-","-","17,074.00","-","-","-","-","-"
"24","Short Term Debt","-","-","16,180.00","15,987.00","15,871.00","17,222.00","13,965.00","13,642.00","13,067.00"
"25","Long Term Debt","72,718.00","67,360.00","64,802.00","59,245.00","57,151.00","53,290.00","51,123.00","47,783.00","45,478.00"
"26","Net Operating Cash Flow","11,968.00","(4,376.00)","1,900.00","2,447.00","(1,144.00)","(8,006.00)","(455.00)","7,248.00","15,391.00"
"27","Capital Expenditures","(445.00)","(374.00)","222.00","(73.00)","(278.00)","(84.00)","(13.00)","(505.00)","(151.00)"
"28","Total Shares Outstanding (million)","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00","233,878.00"
