"1","Financial Year","31-03-2019       1","30-06-2019       2","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1"
"2","Sales/Revenue","17,014.00","18,358.00","17,947.00","15,657.88","11,127.00","7,840.00","19,070.00","18,602.80","11,627.00"
"3","Pretax Income","3,308.00","(1,927.00)","1,458.00","1,389.83","1,219.00","6.00","4,194.00","3,236.76","1,799.00"
"4","Net Income","2,471.00","(2,551.00)","1,088.00","774.96","804.00","4.00","3,094.00","2,269.93","1,502.00"
"5","Cash & Short-Term Investments","2,722.00","26,144.00","21,785.00","22,323.00","15,667.00","16,197.00","18,274.00","18,493.00","34,606.00"
"6","Cash Only","2,722.00","26,144.00","21,785.00","22,323.00","15,667.00","16,197.00","18,274.00","18,493.00","34,606.00"
"7","Total Accounts Receivables","22,714.00","21,991.00","22,524.00","21,170.00","18,279.00","15,811.00","18,856.00","22,540.00","16,678.00"
"8","Inventories","12,631.00","12,001.00","9,969.00","10,494.00","14,284.00","15,727.00","14,552.00","14,783.00","15,542.00"
"9","Net Property, Plant & Equipment","27,874.00","28,918.00","29,626.00","30,624.00","30,981.00","30,715.00","31,086.00","33,028.00","35,253.00"
"10","Short Term Debt","1,826.00","2,751.00","2,067.00","1,645.00","1,924.00","1,578.00","1,221.00","1,268.00","403.00"
"11","Long Term Debt","18,682.00","18,710.00","10,445.00","9,067.00","8,665.00","8,738.00","8,392.00","8,097.00","5,313.00"
"12","Net Operating Cash Flow","1,272.00","645.00","444.00","1,496.00","(4,155.00)","1,086.00","3,712.00","2,970.00","3,231.00"
"13","Capital Expenditures","(5,119.00)","(371.00)","(898.00)","(1,505.00)","(361.00)","(263.00)","(860.00)","(2,550.00)","(2,802.00)"
"14","Total Shares Outstanding (million)","632,000.00","790,000.00","790,000.00","790,000.00","790,000.00","790,000.00","790,000.00","790,000.00","906,900.00"
