"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","17,835.15","9,558.00","17,332.00","8,832.00","9,101.46","16,210.00","25,332.00","46,831.00","40,412.18","31,848.00"
"3","Pretax Income","(1,731.70)","(197.00)","694.00","(2,513.00)","(4,218.14)","(10,723.00)","3,775.00","789.00","(20,205.20)","1,094.00"
"4","Net Income","(1,740.93)","(206.00)","694.00","(2,513.00)","(4,222.44)","(10,723.00)","4,064.00","963.00","(20,406.74)","1,276.00"
"5","Cash & Short-Term Investments","6,198.09","17,095.00","13,125.00","12,647.00","19,587.66","12,858.00","17,920.00","15,127.00","16,849.08","13,673.00"
"6","Cash Only","834.03","7,095.00","3,099.00","2,531.00","9,386.04","2,802.00","10,195.00","7,334.00","10,683.90","8,016.00"
"7","Total Accounts Receivables","49,860.46","50,448.00","56,090.00","50,064.00","40,861.72","44,481.00","51,550.00","59,589.00","44,667.63","43,270.00"
"8","Inventories","4,057.54","4,868.00","3,757.00","6,242.00","5,763.13","3,908.00","24,152.00","17,814.00","23,712.62","23,833.00"
"9","Net Property, Plant & Equipment","5,866.88","5,724.00","5,586.00","5,513.00","5,382.44","5,244.00","24,805.00","24,411.00","32,448.58","32,030.00"
"10","Accrued Payable","-","-","1,138.00","3,804.00","3,755.62","15,428.00","14,651.00","13,202.00","14,275.55","12,358.00"
"11","Short Term Debt","77.48","78.00","79.00","80.00","80.96","82.00","1,934.00","2,307.00","2,521.86","2,312.00"
"12","Long Term Debt","1,294.55","1,256.00","1,221.00","1,182.00","1,154.72","1,116.00","1,966.00","1,876.00","1,760.94","1,969.00"
"13","Net Operating Cash Flow","(2,632.04)","(5,114.00)","(3,867.00)","(438.00)","9,534.91","(6,464.00)","(526.00)","(2,324.00)","2,457.86","(2,587.00)"
"14","Capital Expenditures","(110.18)","-","(5.00)","(73.00)","(16.90)","(7.00)","(268.00)","(755.00)","(1,011.50)","(736.00)"
"15","Total Shares Outstanding (million)","224,330.00","263,921.00","263,921.00","395,878.86","398,184.00","398,184.00","511,977.10","511,977.10","511,977.10","511,977.10"
"16","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","","",""
"16","Net Income","9,941.63","8,563.10","12,134.02","5,904.07","(6,247.44)","(26,101.74)","(14,103.74)","","",""
"17","Cash & Short-Term Investments","10,454.60","6,886.85","10,103.64","6,198.09","19,587.66","16,849.08","13,673.00","","",""
"17","Sales/Revenue","46,042.37","43,568.21","75,697.26","78,482.15","44,823.46","128,785.18","144,423.18","","",""
"18","Cash Only","1,073.90","848.80","3,905.47","834.03","9,386.04","10,683.90","8,016.00","","",""
"18","Pretax Income","9,999.63","8,616.16","12,137.20","5,976.30","(6,234.14)","(26,363.20)","(14,547.20)","","",""
"19","Total Accounts Receivables","10,467.53","18,546.14","33,317.28","49,860.46","40,861.72","44,667.63","43,270.00","","",""
"20","Inventories","1,670.63","2,102.74","2,615.74","4,057.54","5,763.13","23,712.62","23,833.00","","",""
"21","Net Property, Plant & Equipment","5,611.66","5,343.71","6,374.94","5,866.88","5,382.44","32,448.58","32,030.00","","",""
"22","Accrued Payable","-","-","-","2,701.99","3,755.62","14,275.55","12,358.00","","",""
"23","Short Term Debt","127.06","113.40","74.15","77.48","80.96","2,521.86","2,312.00","","",""
"24","Long Term Debt","1,760.53","1,586.71","1,434.07","1,294.55","1,154.72","1,760.94","1,969.00","","",""
"25","Net Operating Cash Flow","7,079.67","96.70","10,043.77","(3,211.04)","115.91","(6,856.14)","(2,979.14)","","",""
"26","Capital Expenditures","(127.69)","(314.48)","(1,706.22)","(257.18)","(94.90)","(2,041.50)","(2,770.50)","","",""
"27","Total Shares Outstanding (million)","224,330.00","224,330.00","224,330.00","336,492.76","398,184.00","511,977.10","511,977.10","336,492.76","294,127.07",""
