"1","Financial Year","31-07-2019       Other","31-10-2019       1","31-01-2020       2","30-04-2020       3","31-07-2020       4","31-10-2020       1","31-01-2021       2","30-04-2021       3","31-07-2021       4","31-10-2021       1"
"2","Sales/Revenue","123,275.00","152,564.00","158,963.00","151,976.00","155,774.00","156,678.00","161,342.00","150,123.00","133,726.00","180,315.00"
"3","Pretax Income","819.00","14,955.00","20,025.00","15,199.00","13,123.00","17,183.00","16,121.00","12,751.00","4,628.00","9,058.00"
"4","Net Income","(305.00)","10,976.00","14,632.00","10,837.00","11,225.00","12,788.00","15,097.00","10,257.00","8,887.00","9,800.00"
"5","Cash & Short-Term Investments","18,562.00","33,687.00","23,220.00","33,818.00","28,484.00","34,701.00","27,420.00","19,834.00","24,603.00","15,283.00"
"6","Cash Only","18,562.00","33,687.00","23,220.00","33,818.00","28,484.00","34,701.00","27,420.00","19,834.00","24,603.00","15,283.00"
"7","Total Accounts Receivables","93,012.00","107,016.00","101,310.00","109,343.00","102,628.00","103,092.00","97,549.00","103,439.00","114,462.00","167,278.00"
"8","Inventories","62,438.00","62,636.00","64,599.00","73,514.00","72,325.00","58,945.00","60,794.00","63,817.00","80,138.00","87,441.00"
"9","Net Property, Plant & Equipment","139,444.00","188,280.00","197,321.00","195,152.00","203,646.00","215,689.00","237,425.00","237,046.00","234,632.00","241,744.00"
"10","Accrued Payable","54,471.00","-","92,896.00","102,687.00","96,005.00","96,042.00","104,599.00","100,911.00","115,827.00","146,633.00"
"11","Short Term Debt","57,358.00","-","100,501.00","89,349.00","78,148.00","69,226.00","65,165.00","63,603.00","80,830.00","100,970.00"
"12","Long Term Debt","5,269.00","130,797.00","6,944.00","6,187.00","5,714.00","5,323.00","4,637.00","3,599.00","3,432.00","2,831.00"
"13","Net Operating Cash Flow","23,901.00","46,606.00","30,513.00","20,717.00","22,725.00","26,238.00","28,184.00","12,816.00","13,265.00","(768.00)"
"14","Capital Expenditures","(1,473.00)","(8,839.00)","(8,215.00)","(3,182.00)","(5,466.00)","(5,985.00)","(24,244.00)","(7,866.00)","(5,832.00)","(11,611.00)"
"15","Total Shares Outstanding (million)","327,348.38","-","327,298.38","327,298.38","327,348.38","327,349.86","327,372.18","327,372.18","327,372.22","327,372.22"
