"1","Financial Year","30-09-2015","30-09-2016","30-09-2017","30-09-2018","30-09-2018       TTM"
"2","Sales/Revenue","-","-","-","-","-"
"3","Pretax Income","(1,348.47)","(4,562.29)","(4,877.49)","(5,319.30)","(10,196.79)"
"4","Net Income","(1,348.47)","(6,863.75)","(7,623.30)","(8,145.96)","(15,769.26)"
"5","Cash & Short-Term Investments","8,514.41","401,315.98","405,655.34","414,513.44","414,513.44"
"6","Cash Only","708.63","215.95","273.42","367.12","367.12"
"7","Total Accounts Receivables","6.00","6.00","4,417.43","4,674.99","4,674.99"
"8","Net Property, Plant & Equipment","56.31","134.89","73.16","8.05","8.05"
"9","Accrued Payable","68.40","64.42","-","-","-"
"10","Short Term Debt","-","-","-","401,897.99","401,897.99"
"11","Long Term Debt","-","368,346.30","384,692.18","-","-"
"12","Net Operating Cash Flow","(1,653.13)","(5,831.73)","(6,749.98)","(6,551.67)","(13,301.65)"
"13","Capital Expenditures","(56.31)","(136.43)","(2.59)","-","(2.59)"
"14","Total Shares Outstanding (million)","200,000.00","1,000,000.20","1,000,000.20","1,000,000.20","1,000,000.20"
