"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","10,117.72","11,483.02","8,704.13","14,272.74","27,296.70","12,343.49","9,415.00"
"3","Pretax Income","6,848.00","6,635.34","1,309.09","(1,870.63)","2,156.58","(4,313.25)","(3,733.00)"
"4","Net Income","6,763.48","6,470.12","1,847.37","(2,136.28)","1,566.58","(4,357.33)","(3,879.00)"
"5","Cash & Short-Term Investments","3,010.01","5,505.12","34,162.46","21,638.22","15,796.96","13,195.71","12,868.00"
"6","Cash Only","1,175.10","638.82","388.67","2,064.26","1,724.08","1,976.69","2,326.00"
"7","Total Accounts Receivables","11,384.67","13,713.75","5,198.62","9,886.02","18,937.41","13,026.40","12,353.00"
"8","Inventories","-","-","-","22.26","16.06","6.12","1.00"
"9","Net Property, Plant & Equipment","1,386.10","2,662.26","4,368.62","4,312.20","3,504.58","2,820.66","2,575.00"
"10","Accrued Payable","-","-","-","1,800.97","9,229.93","5,469.16","3,729.00"
"11","Short Term Debt","54.57","-","71.12","74.35","98.69","198.93","173.00"
"12","Long Term Debt","42.88","-","735.60","661.25","649.07","969.58","944.00"
"13","Net Operating Cash Flow","5,679.86","3,704.33","1,887.87","(8,454.20)","(3,499.11)","(1,710.92)","(2,173.92)"
"14","Capital Expenditures","(96.76)","(1,621.14)","(1,726.94)","(980.97)","(170.14)","(77.33)","(87.33)"
"15","Total Shares Outstanding (million)","148,533.00","148,533.00","200,000.00","200,000.00","225,806.45","225,806.45","225,806.45"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2"
"16","Pretax Income","304.37","160.00","269.00","580.00","797.58","50.00","(484.00)"
"17","Net Income","54.72","152.00","261.00","471.00","332.58","23.00","(694.00)"
"17","Sales/Revenue","8,201.74","6,109.00","6,351.00","6,223.00","6,646.70","5,857.00","2,327.00"
"18","Cash & Short-Term Investments","22,398.20","20,563.00","15,976.00","19,181.00","15,796.96","16,065.00","15,192.00"
"19","Cash Only","2,064.26","908.00","1,614.00","5,241.00","1,724.08","3,491.00","2,175.00"
"20","Total Accounts Receivables","9,126.03","11,701.00","16,024.00","15,932.00","18,937.41","18,274.00","17,341.00"
"21","Inventories","22.26","7.00","15.00","(8.00)","16.06","12.00","9.00"
"22","Net Property, Plant & Equipment","4,312.20","4,080.00","3,808.00","3,734.00","3,504.58","3,222.00","2,953.00"
"23","Accrued Payable","-","-","-","9,183.00","9,229.93","8,218.00","6,514.00"
"24","Short Term Debt","74.35","74.00","74.00","91.00","98.69","99.00","93.00"
"25","Long Term Debt","661.25","643.00","624.00","681.00","649.07","623.00","604.00"
"26","Net Operating Cash Flow","(5,983.20)","(1,834.00)","(2,598.00)","3,874.00","(2,941.11)","1,680.00","(942.00)"
"27","Capital Expenditures","914.03","(44.00)","(1.00)","(68.00)","(57.14)","-","(12.00)"
"28","Total Shares Outstanding (million)","200,000.00","200,000.00","200,000.00","225,806.45","225,806.45","225,806.45","225,806.45"
