"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-03-2021       TTM"
"2","Sales/Revenue","19,063.00","35,379.00","51,027.00","64,335.00","65,012.03","76,142.70","92,545.97","103,753.32","68,201.00","68,450.21"
"3","Pretax Income","779.00","2,488.00","7,737.00","8,071.00","6,069.00","6,829.21","11,459.96","7,505.83","4,605.00","3,782.93"
"4","Net Income","209.00","2,008.00","5,623.00","6,126.00","3,808.15","4,481.56","8,224.44","5,145.40","2,609.00","1,742.68"
"5","Cash & Short-Term Investments","-","-","-","-","26,946.69","16,370.93","29,507.29","32,322.14","47,571.00","42,536.00"
"6","Cash Only","-","-","-","-","24,767.69","15,272.18","28,365.05","30,555.13","45,756.00","37,734.50"
"7","Total Accounts Receivables","-","-","-","-","9,413.93","13,769.77","18,871.43","20,205.46","18,362.00","19,133.00"
"8","Inventories","-","-","-","-","10,542.91","11,620.91","17,616.75","17,277.14","14,312.00","17,474.50"
"9","Net Property, Plant & Equipment","-","-","-","-","7,445.09","9,595.70","11,983.89","14,992.01","14,860.00","14,641.25"
"10","Accrued Payable","-","-","-","-","6,235.92","-","-","-","-","-"
"11","Short Term Debt","-","-","-","-","1,119.62","1,119.09","1,430.32","2,974.23","4,581.00","4,434.50"
"12","Long Term Debt","-","-","-","-","4,281.96","4,957.83","4,943.51","4,616.40","4,219.00","4,206.50"
"13","Net Operating Cash Flow","27.00","2,529.00","3,641.00","3,031.00","5,765.81","(3,880.53)","11,378.65","7,960.73","1,640.00","4,771.00"
"14","Capital Expenditures","(93.00)","(134.00)","(824.00)","(2,363.00)","(345.61)","(1,408.39)","(2,662.95)","(3,357.94)","(1,933.00)","(2,077.00)"
"15","Total Shares Outstanding (million)","421,250.00","421,250.20","421,250.20","421,250.20","421,250.20","421,250.20","421,250.20","421,250.20","481,447.20","625,880.84"
