"1","Financial Year","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-06-2021       TTM","30-06-2021       TTM"
"2","Sales/Revenue","83,715.43","91,528.84","106,735.84","119,195.31","137,488.07","135,239.10","119,058.14","146,682.80","158,672.80","158,672.80"
"3","Pretax Income","15,302.46","21,132.60","16,958.62","13,220.33","17,062.21","13,609.66","11,314.93","11,536.62","14,607.62","14,607.62"
"4","Net Income","12,592.39","17,578.56","13,025.74","9,165.83","13,905.38","10,065.50","8,636.46","7,284.56","9,435.56","9,435.56"
"5","Cash & Short-Term Investments","5,240.31","9,746.96","15,020.11","45,073.21","33,973.15","24,435.29","9,209.12","24,475.45","23,952.00","23,952.00"
"6","Cash Only","5,240.31","9,746.96","15,020.11","45,073.21","33,973.15","24,435.29","9,209.12","19,965.95","23,952.00","23,952.00"
"7","Total Accounts Receivables","22,671.31","22,143.61","27,826.73","28,265.52","34,661.64","30,774.96","30,454.01","33,355.90","33,428.25","33,428.25"
"8","Inventories","16,742.87","15,573.78","19,770.71","23,758.27","28,299.47","28,142.57","33,818.92","30,631.28","31,651.75","31,651.75"
"9","Net Property, Plant & Equipment","19,129.30","19,219.44","23,636.70","23,108.72","34,028.76","47,613.40","69,710.23","87,948.74","86,454.75","86,454.75"
"10","Accrued Payable","13,146.57","14,530.35","17,612.35","17,930.59","19,309.00","10,762.28","12,953.09","18,075.82","17,332.50","17,332.50"
"11","Short Term Debt","1,541.86","1,139.95","2,754.29","1,550.17","883.82","2,054.44","2,256.59","4,706.11","4,031.75","4,031.75"
"12","Long Term Debt","3,393.00","2,530.23","5,259.29","3,693.45","7,232.46","12,500.82","25,221.23","30,920.48","30,452.50","30,452.50"
"13","Net Operating Cash Flow","8,518.28","19,247.04","8,364.69","6,943.14","4,531.45","6,927.86","7,420.80","16,941.99","24,483.00","24,483.00"
"14","Capital Expenditures","(1,035.27)","(702.13)","(5,572.79)","(316.82)","(8,044.62)","(11,834.86)","(15,466.80)","(5,442.13)","(15,204.00)","(15,204.00)"
"15","Total Shares Outstanding (million)","136,265.94","136,265.94","136,265.94","182,600.18","182,600.18","182,600.18","182,600.00","200,860.00","200,860.00","182,600.18"
