"1","Financial Year","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       4","30-06-2021       1","30-09-2021       Other"
"2","Sales/Revenue","30,474.00","30,542.00","43,393.00","35,213.08","30,082.00","33,411.00","45,980.00","53,675.46","31,169.00","27,365.00"
"3","Pretax Income","722.00","758.00","1,589.00","4,822.02","1,322.00","2,688.00","3,877.00","9,164.86","1,968.00","906.00"
"4","Net Income","429.00","669.00","1,476.00","1,176.47","1,013.00","1,223.00","2,028.00","6,837.98","1,681.00","774.00"
"5","Cash & Short-Term Investments","7,252.00","11,113.00","5,873.00","4,710.00","3,950.00","17,215.00","10,721.00","11,898.00","12,197.00","15,420.00"
"6","Cash Only","7,140.00","11,113.00","5,873.00","4,710.00","3,950.00","17,215.00","10,721.00","11,898.00","12,197.00","15,420.00"
"7","Total Accounts Receivables","59,777.00","67,126.00","84,541.00","77,491.00","87,781.00","87,109.00","115,024.00","141,661.00","152,578.00","175,748.00"
"8","Inventories","60,280.00","60,288.00","54,794.00","58,047.00","53,138.00","51,351.00","46,080.00","30,960.00","32,408.00","38,907.00"
"9","Net Property, Plant & Equipment","44,705.00","44,712.00","45,043.00","42,867.00","42,684.00","42,864.00","42,437.00","42,251.00","41,828.00","41,526.00"
"10","Short Term Debt","30,239.00","30,175.00","64,027.00","68,641.00","74,331.00","87,465.00","79,162.00","84,719.00","82,500.00","81,938.00"
"11","Long Term Debt","919.00","859.00","1,225.00","1,936.00","1,786.00","2,181.00","2,025.00","1,885.00","1,727.00","1,600.00"
"12","Net Operating Cash Flow","(2,576.00)","4,405.00","(4,186.00)","(4,459.00)","(6,097.00)","(10,773.00)","(4,022.00)","(5,109.00)","2,016.00","(5,391.00)"
"13","Capital Expenditures","(25.00)","(426.00)","(765.00)","(1,831.00)","(284.00)","(158.00)","(3.00)","(245.00)","(18.00)","(89.00)"
"14","Total Shares Outstanding (million)","297,110.90","297,110.90","297,110.90","296,745.20","297,160.80","329,707.70","342,842.30","348,090.50","350,923.20","395,895.50"
