"1","Financial Year","30-06-2016       2","30-09-2016       3","31-12-2016       4","31-03-2017       1","30-06-2017       2"
"2","Sales/Revenue","71,371.85","78,872.65","82,076.75","76,016.93","78,408.08"
"3","Pretax Income","10,768.82","18,801.42","(19,493.98)","22,949.11","(9,873.48)"
"4","Net Income","7,820.58","12,689.39","(28,658.04)","16,821.38","(7,335.33)"
"5","Cash & Short-Term Investments","1,163,744.58","1,209,260.46","1,197,769.06","1,215,377.54","1,186,302.34"
"6","Cash Only","1,163,744.58","1,209,260.46","1,197,769.06","1,215,377.54","1,186,302.34"
"7","Total Accounts Receivables","156,097.37","169,983.61","206,775.95","167,869.31","142,103.10"
"8","Inventories","11,848.67","12,909.98","10,123.87","13,101.29","32,127.59"
"9","Net Property, Plant & Equipment","332,543.53","328,280.38","333,921.83","387,854.56","381,654.87"
"10","Long Term Debt","-","-","-","-","-"
"11","Net Operating Cash Flow","16,513.50","19,969.24","(55,612.85)","86,544.76","651.92"
"12","Capital Expenditures","-","-","-","(66,671.08)","(8,367.15)"
"13","Total Shares Outstanding (million)","1,232,760.00","1,232,760.00","1,232,760.00","1,232,760.00","1,232,759.69"
"14","Financial Year","31-12-2007","31-12-2008","31-12-2009","31-12-2010","31-12-2011"
"15","Sales/Revenue","233,600.36","433,778.15","541,217.83","658,858.64","893,572.51"
"16","Net Income","97,415.96","132,531.07","163,948.09","185,961.05","233,981.05"
"16","Pretax Income","104,858.04","168,340.78","206,190.30","242,592.22","327,446.89"
"17","Cash & Short-Term Investments","152,837.02","185,967.77","306,583.31","422,155.90","668,187.77"
"18","Cash Only","152,837.02","185,967.77","306,583.31","422,155.90","668,187.77"
"19","Total Accounts Receivables","32,604.72","86,382.74","135,336.42","162,816.12","227,316.17"
"20","Inventories","6,001.73","7,398.60","10,254.12","16,799.94","29,089.91"
"21","Net Property, Plant & Equipment","22,577.86","100,991.32","115,790.22","135,288.11","143,023.66"
"22","Short Term Debt","63,359.11","22,755.59","97,015.57","55,003.18","24,722.02"
"23","Long Term Debt","-","69,287.23","-","-","-"
"24","Net Operating Cash Flow","85,971.36","110,766.62","133,985.85","164,638.20","227,795.51"
"25","Capital Expenditures","(2,139.05)","(116,678.01)","(17,536.38)","(28,396.49)","(14,118.74)"
"26","Total Shares Outstanding (million)","1,192,591.00","1,192,591.00","1,192,591.00","1,192,591.00","1,192,591.00"
