"1","Financial Year","31-12-2016       Other","31-03-2017       Other","30-06-2017       1","30-09-2017       2","31-12-2017       3","31-03-2018       4","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       4"
"2","Sales/Revenue","26,661.00","26,648.75","25,580.00","27,900.00","27,801.00","27,737.64","26,689.00","29,557.00","33,017.00","29,187.00"
"3","Pretax Income","3,171.00","2,543.90","3,603.00","4,108.00","2,494.00","(299.29)","1,419.00","1,790.00","1,079.00","(4,738.00)"
"4","Net Income","2,410.00","1,841.61","3,010.00","3,011.00","3,244.00","1,134.43","1,044.00","2,031.00","1,047.00","(2,460.00)"
"5","Cash & Short-Term Investments","6,668.00","6,538.00","5,118.00","6,788.00","2,024.00","6,773.57","659.00","3,320.00","4,247.00","1,711.00"
"6","Cash Only","6,646.00","6,514.00","3,464.00","5,121.00","1,988.00","6,749.45","634.00","3,295.00","4,221.00","1,685.00"
"7","Total Accounts Receivables","35,537.00","32,962.00","38,749.00","37,823.00","38,781.00","39,683.26","38,094.00","40,068.00","41,653.00","37,500.00"
"8","Inventories","519.00","1,269.00","1,412.00","1,787.00","2,564.00","3,340.70","2,639.00","2,821.00","2,807.00","2,755.00"
"9","Net Property, Plant & Equipment","178,256.00","185,305.00","189,844.00","188,905.00","194,653.00","197,006.37","203,676.00","205,634.00","205,066.00","213,713.00"
"10","Short Term Debt","11,634.00","-","11,323.00","15,409.00","16,809.00","16,806.92","16,294.00","21,101.00","24,552.00","23,246.00"
"11","Long Term Debt","61,010.00","59,082.00","63,549.00","59,075.00","55,597.00","63,691.49","62,068.00","62,837.00","59,984.00","58,555.00"
"12","Net Operating Cash Flow","(11,635.00)","7,931.87","67.00","5,306.00","6,081.00","6,259.97","5,718.00","2,689.00","3,479.00","13,756.00"
"13","Capital Expenditures","(5,138.00)","(8,777.27)","(6,577.00)","(4,513.00)","(7,767.00)","6,031.34","(9,003.00)","(4,421.00)","(2,098.00)","(12,529.00)"
"14","Total Shares Outstanding (million)","216,001.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00"
"15","Financial Year","31-12-2014","31-12-2015","31-03-2017","31-03-2018","31-03-2019","31-03-2019       TTM","","","",""
"16","Pretax Income","18,420.00","16,811.66","16,138.90","9,905.71","(453.00)","(450.00)","","","",""
"16","Sales/Revenue","110,633.00","107,880.21","128,671.75","109,018.64","114,729.00","118,450.00","","","",""
"17","Net Income","15,754.00","15,957.51","12,704.61","10,399.43","1,660.00","1,662.00","","","",""
"18","Cash & Short-Term Investments","8,226.00","24,634.93","11,329.16","6,773.57","1,711.00","1,711.00","","","",""
"19","Cash Only","8,204.00","14,612.93","9,687.99","6,749.45","1,685.00","1,685.00","","","",""
"20","Total Accounts Receivables","30,833.00","30,448.77","33,418.47","39,683.26","37,500.00","37,500.00","","","",""
"21","Inventories","775.00","864.49","1,268.62","3,340.70","2,755.00","2,755.00","","","",""
"22","Net Property, Plant & Equipment","112,235.00","127,648.15","185,244.36","197,006.37","213,713.00","213,713.00","","","",""
"23","Short Term Debt","10,425.00","5,304.37","14,581.92","16,806.92","23,246.00","23,246.00","","","",""
"24","Long Term Debt","34,456.00","33,871.75","59,221.49","63,691.49","58,555.00","58,555.00","","","",""
"25","Net Operating Cash Flow","16,452.00","19,624.85","24,419.87","17,713.97","25,642.00","25,642.00","","","",""
"26","Capital Expenditures","(33,602.00)","(20,787.03)","(66,710.27)","(12,825.66)","(28,051.00)","(28,051.00)","","","",""
"27","Total Shares Outstanding (million)","170,662.00","216,000.00","216,000.00","216,000.00","216,000.00","216,000.00","460,000.00","","",""
