"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-03-2021       TTM"
"2","Sales/Revenue","1,448,475.00","1,839,593.00","1,880,707.00","1,916,859.00","1,788,844.00","2,076,290.00","2,256,835.00","1,768,727.00","1,552,652.00","1,642,028.00"
"3","Pretax Income","81,885.00","89,812.00","151,264.00","140,750.00","153,677.00","174,195.00","183,066.00","157,396.00","101,504.00","107,528.00"
"4","Net Income","54,788.00","66,926.00","124,819.00","127,164.00","123,519.00","137,830.00","144,681.00","129,324.00","72,786.00","76,677.00"
"5","Cash & Short-Term Investments","107,622.00","133,085.00","278,417.00","468,477.00","465,768.00","487,240.00","484,869.00","692,638.00","200,071.00","527,053.25"
"6","Cash Only","75,380.00","57,160.00","65,909.00","112,922.00","88,233.00","487,240.00","56,483.00","178,192.00","200,071.00","52,869.00"
"7","Total Accounts Receivables","1,061,664.00","1,012,922.00","739,640.00","724,208.00","942,491.00","1,208,011.00","1,014,172.00","961,567.00","1,067,973.00","939,992.50"
"8","Inventories","21,908.00","25,518.00","20,203.00","17,293.00","23,950.00","24,429.00","29,981.00","25,094.00","34,256.00","36,033.25"
"9","Net Property, Plant & Equipment","150,627.00","180,895.00","178,728.00","161,783.00","138,381.00","149,844.00","163,200.00","138,507.00","107,321.00","113,207.50"
"10","Accrued Payable","-","124,578.00","129,962.00","-","-","-","-","-","103,789.00","859,988.75"
"11","Short Term Debt","45,155.00","75,057.00","135,132.00","136,841.00","136,515.00","134,659.00","113,631.00","235,907.00","235,620.00","227,722.00"
"12","Long Term Debt","18,006.00","15,410.00","69.00","-","-","-","-","61,553.00","72,729.00","74,600.00"
"13","Net Operating Cash Flow","51,041.00","83,138.00","183,929.00","239,646.00","85,616.00","62,834.00","189,194.00","193,539.00","87,802.00","112,404.00"
"14","Capital Expenditures","(56,811.00)","(49,404.00)","(45,732.00)","(38,673.00)","(19,016.00)","(54,688.00)","(56,169.00)","(8,312.00)","(3,393.00)","(3,923.00)"
"15","Total Shares Outstanding (million)","1,292,900.00","1,292,900.00","1,292,900.00","1,292,900.00","1,292,900.00","1,292,246.00","1,292,246.01","1,289,359.11","1,289,359.11","1,289,359.11"
