"1","Financial Year","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3","31-12-2021       4"
"2","Sales/Revenue","15,077.00","16,915.00","13,599.00","28,157.60","28,219.00","35,081.00","28,861.00","33,310.00"
"3","Pretax Income","2,858.00","2,886.00","1,585.00","2,984.69","3,485.00","3,830.00","5,129.00","1,125.00"
"4","Net Income","2,173.00","2,164.00","496.00","2,484.62","2,477.00","2,788.00","3,842.00","933.00"
"5","Cash & Short-Term Investments","5,850.00","8,525.00","31,421.00","18,596.00","20,128.00","8,881.00","9,297.00","17,439.00"
"6","Cash Only","5,850.00","8,525.00","31,421.00","16,592.00","20,128.00","8,881.00","9,297.00","10,889.00"
"7","Total Accounts Receivables","17,871.00","16,686.00","16,635.00","31,406.00","34,229.00","47,165.00","52,536.00","50,793.00"
"8","Inventories","-","-","-","-","-","5,000.00","5,000.00","163.00"
"9","Net Property, Plant & Equipment","8,029.00","8,281.00","8,084.00","7,936.00","7,776.00","7,685.00","7,662.00","7,908.00"
"10","Short Term Debt","309.00","348.00","320.00","308.00","297.00","305.00","406.00","220.00"
"11","Long Term Debt","1,560.00","1,595.00","1,496.00","1,394.00","1,326.00","1,325.00","1,297.00","1,398.00"
"12","Net Operating Cash Flow","4,302.00","3,132.00","2,261.00","(12,627.00)","1,700.00","(6,177.00)","637.00","3,787.00"
"13","Capital Expenditures","(740.00)","(362.00)","(64.00)","(114.00)","(108.00)","(96.00)","(92.00)","(550.00)"
"14","Total Shares Outstanding (million)","328,800.00","328,800.00","328,800.00","411,000.00","411,000.00","411,000.00","411,000.00","411,000.00"
