"1","Financial Year","31-12-2018       3","31-03-2019       4","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4","30-06-2020       1","30-09-2020       2","31-12-2020       3","31-03-2021       Other"
"2","Sales/Revenue","5,477.00","553.48","9,689.00","339.00","4,160.00","6,184.35","41,443.00","4,177.00","41,209.00","6,272.00"
"3","Pretax Income","(7,259.00)","(13,489.37)","24,469.00","71,693.00","76,491.00","53,379.86","151,008.00","720,500.00","(61,626.00)","(143,792.00)"
"4","Net Income","(7,262.00)","(13,451.30)","24,471.00","71,695.00","76,492.00","53,383.68","151,009.00","720,503.00","(61,619.00)","(143,778.00)"
"5","Cash & Short-Term Investments","32,632.00","35,431.23","33,824.00","33,778.00","70,366.00","47,527.00","44,708.00","85,958.00","174,505.00","154,669.00"
"6","Total Accounts Receivables","35,661.00","24,252.20","23,342.00","21,021.00","17,489.00","23,676.00","19,747.00","4,894.00","6,877.00","25,868.00"
"7","Inventories","280.00","98.04","59.00","60.00","62.00","58.00","2,004.00","2,002.00","2,000.00","1,925.00"
"8","Net Property, Plant & Equipment","3,173.00","4,769.79","5,658.00","5,615.00","5,765.00","5,241.00","13,236.00","12,748.00","17,395.00","23,878.00"
"9","Accrued Payable","14,684.00","15,058.48","15,155.00","14,973.00","23,955.00","24,129.00","15,555.00","14,724.00","9,241.00","7,065.00"
"10","Short Term Debt","-","-","-","-","23,256.00","28,927.00","29,511.00","25,307.00","13,844.00","14,377.00"
"11","Long Term Debt","-","-","-","-","-","485.00","9,322.00","9,009.00","8,724.00","8,973.00"
"12","Net Operating Cash Flow","(13,645.00)","6,720.48","(550.00)","(4,113.00)","(19,280.00)","(15,018.00)","(4,268.00)","(6,009.00)","(6,940.00)","(48,768.00)"
"13","Capital Expenditures","(300.00)","(1,767.61)","(1,050.00)","(135.00)","(479.00)","(33.00)","-","(48.00)","(5,120.00)","(6,362.00)"
"14","Total Shares Outstanding (million)","604,612.17","611,005.12","611,605.12","634,771.52","745,807.81","814,301.81","969,873.36","1,594,796.70","2,881,414.75","3,445,410.48"
