"1","Financial Year","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","348,811.00","550,271.00","724,336.00","737,752.00","1,014,903.00","839,877.00","321,053.00","586,651.00","573,804.00","579,070.00"
"3","Pretax Income","(41,287.00)","102,129.00","83,566.00","206,849.00","284,156.00","(348,426.00)","(1,181,264.00)","(1,130,507.00)","(17,563.00)","(42,117.00)"
"4","Net Income","(48,501.00)","79,160.00","72,048.00","189,147.00","251,996.00","(369,277.00)","(1,177,379.00)","(1,126,999.00)","(19,528.00)","(46,762.00)"
"5","Cash & Short-Term Investments","86,370.00","106,317.00","119,311.00","1,236,529.00","1,178,046.00","1,063,372.00","555,021.00","680,747.00","400,635.00","324,551.00"
"6","Cash Only","56,171.00","81,949.00","100,748.00","103,010.00","202,629.00","221,443.00","71,635.00","70,617.00","195,947.00","-"
"7","Total Accounts Receivables","118,244.00","218,652.00","260,573.00","313,681.00","382,398.00","276,740.00","126,785.00","258,173.00","242,579.00","264,411.00"
"8","Inventories","20,399.00","35,687.00","44,892.00","64,354.00","116,584.00","204,508.00","211,916.00","194,841.00","179,504.00","179,846.00"
"9","Net Property, Plant & Equipment","1,172,392.00","1,220,482.00","1,466,612.00","2,247,177.00","4,021,981.00","6,081,634.00","5,298,125.00","3,643,231.00","3,530,440.00","3,438,058.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","86,270.00"
"11","Short Term Debt","42,432.00","90,718.00","167,666.00","311,257.00","1,243,871.00","2,257,330.00","1,499,745.00","461,115.00","88,828.00","97,145.00"
"12","Long Term Debt","715,050.00","678,149.00","579,383.00","548,335.00","1,010,978.00","1,746,965.00","2,272,773.00","1,398,528.00","1,348,379.00","1,260,894.00"
"13","Net Operating Cash Flow","(6,743.00)","94,519.00","126,304.00","106,908.00","281,657.00","375,299.00","(63,953.00)","(50,880.00)","157,602.00","89,033.00"
"14","Capital Expenditures","(183,498.00)","(65,123.00)","(140,186.00)","(568,449.00)","(1,769,634.00)","(1,773,105.00)","(57,036.00)","(17,179.00)","(27,574.00)","(28,180.00)"
"15","Total Shares Outstanding (million)","1,550,200.00","1,550,200.00","1,550,200.00","2,162,000.00","2,162,000.00","2,162,000.00","2,214,642.04","8,215,600.00","8,215,600.00","8,215,600.00"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"17","Sales/Revenue","53,711.00","74,278.00","139,908.00","180,510.00","191,955.00","121,763.00","111,842.00","150,324.00","189,875.00","127,029.00"
"18","Pretax Income","(915,806.00)","(104,908.00)","(51,382.00)","3,047.00","(977,264.00)","4,939.00","(24,658.00)","(13,365.00)","15,521.00","(19,615.00)"
"19","Net Income","(909,624.00)","(104,117.00)","(50,986.00)","3,366.00","(975,262.00)","5,015.00","(24,080.00)","(13,569.00)","13,106.00","(22,219.00)"
"20","Cash & Short-Term Investments","555,021.00","454,082.00","413,338.00","694,369.00","680,747.00","350,504.00","390,943.00","361,637.00","400,635.00","324,551.00"
"21","Total Accounts Receivables","137,771.00","112,738.00","157,578.00","215,230.00","268,505.00","189,293.00","161,438.00","221,308.00","248,525.00","264,411.00"
"22","Inventories","211,916.00","212,559.00","198,460.00","196,480.00","194,841.00","182,142.00","189,094.00","197,952.00","179,504.00","179,846.00"
"23","Net Property, Plant & Equipment","5,298,125.00","5,161,228.00","4,950,560.00","4,814,713.00","3,643,231.00","3,425,374.00","3,535,582.00","3,593,204.00","3,530,440.00","3,438,058.00"
"24","Accrued Payable","-","-","-","-","119,128.00","79,833.00","75,308.00","103,132.00","89,336.00","86,270.00"
"25","Short Term Debt","1,499,745.00","1,505,004.00","1,475,656.00","3,423,586.00","461,115.00","42,032.00","70,468.00","80,510.00","88,828.00","97,145.00"
"26","Long Term Debt","2,272,773.00","2,182,657.00","2,060,725.00","-","1,398,528.00","1,332,987.00","1,356,994.00","1,369,252.00","1,348,379.00","1,260,894.00"
"27","Net Operating Cash Flow","1,568.00","(77,535.00)","(9,696.00)","13,752.00","22,599.00","60,626.00","49,554.00","(8,280.00)","55,702.00","(7,943.00)"
"28","Capital Expenditures","(19,116.00)","(1,125.00)","(2,398.00)","(6,073.00)","(7,583.00)","(104.00)","(329.00)","(23,844.00)","(3,297.00)","(710.00)"
"29","Total Shares Outstanding (million)","2,162,000.00","2,162,000.00","2,162,000.00","6,998,727.69","8,215,600.00","8,215,600.00","8,215,600.00","8,215,600.00","8,215,600.00","8,215,600.00"
