"1","Financial Year","31-10-2019       1","31-01-2020       2","30-04-2020       3","31-07-2020       4","31-10-2020       1","31-01-2021       2","30-04-2021       3","31-07-2021       4","31-10-2021       Other","31-12-2021       Other"
"2","Sales/Revenue","405.00","552.00","554.00","275.86","425.00","425.00","425.00","2,525.00","283.00","2,060.00"
"3","Pretax Income","169.00","(80.00)","(80.00)","(1,066.77)","(1,655.00)","(993.00)","(1,992.00)","(130.00)","(1,210.00)","(1,787.00)"
"4","Net Income","169.00","(14.00)","(51.00)","(919.70)","(1,605.00)","(935.00)","(1,977.00)","(113.00)","(1,199.00)","(1,448.00)"
"5","Cash & Short-Term Investments","208.00","17.00","15.00","28.25","6,256.00","1,361.00","6,879.00","3,952.00","2,048.00","2,157.00"
"6","Cash Only","208.00","17.00","15.00","28.25","6,256.00","1,361.00","6,879.00","3,952.00","2,048.00","2,157.00"
"7","Total Accounts Receivables","11,097.00","11,736.00","12,950.00","12,799.88","12,314.00","17,186.00","13,644.00","15,588.00","14,683.00","8,252.00"
"8","Inventories","-","-","-","-","-","-","-","773.00","-","-"
"9","Net Property, Plant & Equipment","104.00","198.00","184.00","131.91","132.00","147.00","27,142.00","27,136.00","32,599.00","33,374.00"
"10","Short Term Debt","-","-","-","-","-","-","-","-","-","-"
"11","Long Term Debt","-","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","(3,306.00)","(98.00)","(2.00)","(89.00)","(2,131.00)","(4,880.00)","7,501.00","(2,924.00)","495.00","(5,345.00)"
"13","Capital Expenditures","-","(96.00)","-","96.00","-","(15.11)","(26,985.89)","-","(6,323.00)","(6,250.00)"
"14","Total Shares Outstanding (million)","176,690.66","176,690.66","176,690.66","176,690.66","229,697.76","229,697.76","447,657.65","447,657.65","457,657.65","564,189.15"
