"1","Financial Year","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","293,505.00","268,656.00","242,567.00","303,166.00","308,193.00","291,709.00"
"3","Pretax Income","28,835.00","32,765.00","15,159.00","9,695.00","(36,226.00)","(58,683.00)"
"4","Net Income","21,545.00","25,157.00","11,282.00","6,929.00","(28,961.00)","(48,857.00)"
"5","Cash & Short-Term Investments","45,060.00","35,705.00","23,588.00","30,382.00","37,852.00","37,948.00"
"6","Cash Only","-","6,056.00","430.00","2,231.00","999.00","-"
"7","Total Accounts Receivables","178,272.00","223,145.00","317,829.00","400,568.00","296,213.00","290,800.00"
"8","Inventories","245.00","449.00","404.00","232.00","866.00","886.00"
"9","Net Property, Plant & Equipment","116,286.00","102,167.00","100,813.00","99,139.00","93,200.00","86,862.00"
"10","Accrued Payable","102,480.00","-","-","-","-","217,611.00"
"11","Short Term Debt","45,317.00","61,116.00","78,631.00","94,885.00","68,074.00","64,440.00"
"12","Long Term Debt","19,880.00","15,354.00","20,012.00","25,502.00","22,656.00","20,682.00"
"13","Net Operating Cash Flow","11,055.00","(25,418.00)","(16,147.00)","(7,808.00)","42,999.00","84,487.00"
"14","Capital Expenditures","(4,167.00)","(27,130.00)","(9,195.00)","(795.00)","(1,233.00)","(1,043.00)"
"15","Total Shares Outstanding (million)","520,000.00","520,000.00","520,000.00","530,350.00","545,350.00","545,350.00"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1"
"16","Pretax Income","2,117.00","(1,176.00)","4,109.00","13,394.00","(6,633.00)","6,978.00"
"17","Net Income","1,535.00","(1,807.00)","2,757.00","11,273.00","(5,293.00)","5,181.00"
"17","Sales/Revenue","78,198.00","72,589.00","51,911.00","60,551.00","118,115.00","83,671.00"
"18","Cash & Short-Term Investments","23,588.00","26,814.00","26,637.00","23,533.00","30,382.00","31,351.00"
"19","Total Accounts Receivables","319,424.00","311,980.00","271,090.00","386,285.00","402,102.00","452,517.00"
"20","Inventories","404.00","259.00","532.00","794.00","232.00","287.00"
"21","Net Property, Plant & Equipment","100,813.00","98,398.00","106,281.00","105,305.00","99,139.00","95,788.00"
"22","Accrued Payable","147,321.00","144,595.00","158,794.00","226,019.00","201,180.00","213,576.00"
"23","Short Term Debt","78,631.00","79,852.00","-","63,820.00","94,885.00","128,200.00"
"24","Long Term Debt","20,012.00","17,717.00","15,105.00","12,224.00","25,502.00","22,453.00"
"25","Net Operating Cash Flow","(13,622.00)","5,855.00","11,472.00","8,627.00","(33,762.00)","(37,481.00)"
"26","Capital Expenditures","(2,664.00)","(83.00)","(9,234.00)","(12,732.00)","21,254.00","(205.00)"
"27","Total Shares Outstanding (million)","520,000.00","520,000.00","-","520,000.00","530,350.00","545,350.00"
