"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","19,063.00","35,379.00","51,027.00","64,335.00","65,012.03","76,142.70","92,545.97","96,178.97"
"3","Pretax Income","779.00","2,488.00","7,737.00","8,071.00","6,069.00","6,829.21","11,459.96","10,997.96"
"4","Net Income","209.00","2,008.00","5,623.00","6,126.00","3,808.15","4,481.56","8,224.44","7,798.44"
"5","Cash & Short-Term Investments","-","-","-","-","26,946.69","16,370.93","29,507.29","10,127.00"
"6","Cash Only","-","-","-","-","24,767.69","15,272.18","28,365.05","8,982.00"
"7","Total Accounts Receivables","-","-","-","-","9,413.93","13,769.77","18,871.43","26,958.00"
"8","Inventories","-","-","-","-","10,542.91","11,620.91","17,616.75","20,160.00"
"9","Net Property, Plant & Equipment","-","-","-","-","7,445.09","9,595.70","11,983.89","9,557.00"
"10","Accrued Payable","-","-","-","-","6,235.92","7,205.59","9,523.13","8,317.00"
"11","Short Term Debt","-","-","-","-","1,119.62","1,119.09","1,430.32","2,683.00"
"12","Long Term Debt","-","-","-","-","4,281.96","4,957.83","4,943.51","5,152.00"
"13","Net Operating Cash Flow","27.00","2,529.00","3,641.00","3,031.00","5,765.81","(3,880.53)","11,378.65","1,828.65"
"14","Capital Expenditures","(93.00)","(134.00)","(824.00)","(2,363.00)","(345.61)","(1,408.39)","(2,662.95)","(1,850.95)"
"15","Total Shares Outstanding (million)","421,250.00","421,250.00","421,250.00","421,250.00","421,250.20","421,250.20","421,250.20","421,250.20"
"16","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3"
"16","Pretax Income","(723.00)","2,581.00","1,580.00","1,320.00","1,349.21","4,440.00","3,620.00","1,227.00"
"17","Net Income","(1,177.85)","1,968.00","1,194.00","1,192.00","128.56","3,378.00","2,399.00","997.00"
"17","Sales/Revenue","18,667.03","20,314.00","17,195.00","18,954.00","19,679.70","24,379.00","26,662.00","19,629.00"
"18","Cash & Short-Term Investments","26,946.69","23,440.00","21,218.00","18,537.00","16,370.93","15,440.00","18,127.00","16,736.00"
"19","Cash Only","24,767.69","21,230.00","16,474.00","13,707.00","15,272.18","14,341.00","17,022.00","15,629.00"
"20","Total Accounts Receivables","9,413.93","12,975.00","13,729.00","13,856.00","13,769.77","18,663.00","20,621.00","17,103.00"
"21","Inventories","10,542.91","11,219.00","11,256.00","13,989.00","11,620.91","18,966.00","17,351.00","12,630.00"
"22","Net Property, Plant & Equipment","7,445.09","7,697.00","8,179.00","9,174.00","9,595.70","10,292.00","10,951.00","11,453.00"
"23","Accrued Payable","-","-","-","5,435.00","7,205.59","6,501.00","4,988.00","7,903.00"
"24","Short Term Debt","1,119.62","1,281.00","2,559.00","935.00","1,119.09","1,508.00","3,115.00","2,637.00"
"25","Long Term Debt","4,281.96","4,316.00","4,419.00","4,687.00","4,957.83","4,392.00","4,513.00","4,622.00"
"26","Net Operating Cash Flow","928.81","(3,266.00)","(2,912.00)","(205.00)","2,502.47","(1,140.00)","(893.00)","7,886.00"
"27","Capital Expenditures","(79.61)","(191.00)","(303.00)","(695.00)","(219.39)","(867.00)","(567.00)","(700.00)"
"28","Total Shares Outstanding (million)","421,250.00","421,250.00","421,250.00","421,250.20","421,250.20","421,250.20","421,250.20","421,250.20"
