"1","Financial Year","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","31-12-2021"
"2","Sales/Revenue","28,088.97","272,559.98","338,299.74","301,088.92","341,097.42","390,284.33","343,446.89","301,367.80","354,738.53","599,008.39"
"3","Pretax Income","19,319.98","28,532.93","30,078.64","17,059.34","31,094.62","49,174.29","12,648.36","9,749.94","31,198.70","96,691.87"
"4","Net Income","16,563.34","12,488.68","14,316.94","3,957.40","9,104.57","17,538.23","4,458.05","2,508.89","13,673.66","42,100.21"
"5","Cash & Short-Term Investments","4,853.88","42,522.96","39,921.67","42,616.66","42,525.58","45,116.57","37,813.16","37,084.48","50,179.62","83,019.79"
"6","Cash Only","3,427.10","15,231.79","17,072.30","20,794.95","17,830.42","17,631.84","14,199.20","13,140.62","32,606.60","51,054.24"
"7","Total Accounts Receivables","3,171.69","19,570.41","23,049.47","20,151.95","28,046.16","34,169.74","28,380.19","31,012.30","23,873.36","28,672.36"
"8","Inventories","1,326.12","19,442.66","22,516.24","31,500.82","28,018.29","31,386.09","30,691.01","25,355.18","18,533.39","21,608.98"
"9","Net Property, Plant & Equipment","99,360.53","1,001,367.96","928,285.26","909,607.85","905,876.72","901,931.47","397,058.29","404,148.62","507,399.52","486,200.76"
"10","Accrued Payable","-","-","-","30,691.99","40,860.35","37,034.37","29,445.69","31,799.48","26,322.19","37,757.77"
"11","Short Term Debt","6,541.67","45,722.69","81,119.26","90,704.12","87,757.47","82,123.34","76,629.37","77,243.31","66,466.98","23,661.97"
"12","Long Term Debt","35,719.59","106,142.87","90,664.33","98,219.28","87,531.45","66,012.82","64,047.50","58,851.80","50,743.09","36,034.29"
"13","Net Operating Cash Flow","11,665.04","33,381.01","13,961.47","24,523.26","32,685.43","48,260.47","31,267.60","37,418.74","53,153.61","113,770.18"
"14","Capital Expenditures","(31,568.57)","(44,001.81)","(26,106.23)","(23,894.97)","(11,246.05)","(13,902.76)","(18,948.04)","(23,910.08)","(17,227.86)","(9,063.79)"
"15","Total Shares Outstanding (million)","196,544.00","196,543.97","196,543.97","196,543.97","196,543.97","196,543.97","196,543.97","196,543.97","196,543.97","196,543.97"
