"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","-","12,185.26","20,047.38","24,387.94","36,036.04","38,536.72","36,755.06","42,748.10","-","289,020.54","217,437.54"
"3","Pretax Income","(86.38)","4,154.08","(1,984.52)","993.56","1,362.51","(4,282.81)","2,205.30","2,770.78","(4,669.63)","28,114.32","24,370.32"
"4","Net Income","(86.38)","3,920.47","(2,910.88)","314.33","1,225.72","(3,861.59)","(871.20)","1,594.97","3,069.35","19,255.76","18,908.76"
"5","Cash & Short-Term Investments","244.06","4,935.67","5,423.33","2,330.06","8,274.04","12,127.22","15,609.83","17,732.87","247.74","99,642.52","92,810.00"
"6","Cash Only","-","-","-","2,068.71","4,624.32","6,619.98","7,302.63","9,362.49","247.74","25,349.90","14,210.00"
"7","Total Accounts Receivables","81.64","4,141.28","6,564.82","9,189.44","11,865.68","10,472.50","14,207.16","14,624.81","50.06","213,848.88","230,433.00"
"8","Inventories","-","1,500.83","2,729.55","3,832.99","4,542.65","3,331.78","3,952.08","4,743.88","-","-","-"
"9","Net Property, Plant & Equipment","873.24","3,831.15","5,658.76","5,234.48","4,904.00","8,977.83","20,477.43","20,175.59","11.93","64,073.23","63,327.00"
"10","Short Term Debt","-","91.22","98.43","685.39","-","-","-","-","-","31,744.84","29,973.00"
"11","Long Term Debt","-","91.57","-","-","-","-","8,616.12","5,167.63","-","115,488.51","120,635.00"
"12","Net Operating Cash Flow","1,170.52","4,407.67","(4,473.43)","(1,609.76)","2,146.25","1,329.49","(128.23)","4,320.81","267.10","(46,280.52)","(52,144.52)"
"13","Capital Expenditures","(51.23)","(316.15)","(2,108.23)","(572.72)","(2,486.65)","(5,919.24)","(10,481.07)","(1,721.08)","(1,307.11)","(11,863.45)","(11,895.45)"
"14","Total Shares Outstanding (million)","120,001.00","120,001.00","120,001.00","120,001.00","120,001.00","131,701.00","135,701.00","135,701.08","136,851.08","2,454,641.85","2,454,641.85"
"15","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","31-03-2019       1"
"16","Pretax Income","(935.22)","1,215.00","2,167.00","725.00","381.00","(961.00)","(257.00)","9,688.00","6,432.32","8,507.00","8,507.00"
"16","Sales/Revenue","13,022.10","11,556.00","12,542.00","14,532.00","-","-","-","65,548.00","106,532.54","45,357.00","45,357.00"
"17","Net Income","(1,242.03)","894.00","1,752.00","207.00","217.00","(420.00)","1,295.00","6,725.00","4,678.76","6,210.00","6,210.00"
"18","Cash & Short-Term Investments","17,732.87","13,186.00","15,928.00","14,995.00","247.74","53.00","36.00","121,536.00","99,642.52","92,810.00","92,810.00"
"19","Cash Only","9,362.49","4,946.00","7,800.00","9,856.00","247.74","53.00","36.00","67,443.00","25,349.90","14,210.00","14,210.00"
"20","Total Accounts Receivables","14,624.81","17,170.00","16,736.00","17,058.00","50.06","34.00","17.00","189,165.00","213,848.88","230,433.00","230,433.00"
"21","Inventories","4,743.88","6,327.00","6,467.00","6,704.00","-","-","-","-","-","-","-"
"22","Net Property, Plant & Equipment","20,175.59","20,243.00","18,834.00","19,066.00","11.93","10.00","9.00","61,104.00","64,073.23","63,327.00","63,327.00"
"23","Short Term Debt","-","-","-","-","-","-","-","12,302.00","31,744.84","29,973.00","29,973.00"
"24","Long Term Debt","5,167.63","5,138.00","-","3,172.00","-","-","-","137,829.00","115,488.51","120,635.00","120,635.00"
"25","Net Operating Cash Flow","1,389.81","(3,514.00)","1,401.00","2,005.00","375.10","(1,938.00)","(1,866.00)","13,949.00","(56,425.52)","(7,802.00)","(7,802.00)"
"26","Capital Expenditures","(301.08)","(514.00)","1.00","(514.00)","(280.11)","(6.00)","(61.00)","(8,331.00)","(3,465.45)","(38.00)","(38.00)"
"27","Total Shares Outstanding (million)","135,701.00","135,701.00","-","135,701.00","136,851.08","138,001.00","138,001.00","2,454,641.85","2,454,641.85","2,454,641.85","2,454,641.85"
