"1","Financial Year","31-12-2016       2","31-03-2017       3","30-06-2017       4","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","90,795.00","31,530.00","51,698.00","83,799.00","87,554.00","48,037.00","42,084.00","56,716.00","46,867.00","19,380.00"
"3","Pretax Income","13,804.00","988.00","2,903.00","8,550.00","8,038.00","(165.00)","(1,326.00)","3,019.00","1,250.00","(4,127.00)"
"4","Net Income","10,610.00","853.00","2,374.00","6,453.00","6,014.00","(116.00)","(989.00)","2,335.00","996.00","(3,068.00)"
"5","Cash & Short-Term Investments","102,737.00","94,089.00","83,085.00","68,792.00","63,563.00","90,148.00","91,112.00","90,275.00","96,204.00","86,395.00"
"6","Cash Only","56,921.00","49,385.00","40,051.00","48,628.00","40,617.00","33,258.00","30,249.00","30,796.00","34,678.00","31,815.00"
"7","Total Accounts Receivables","32,161.00","15,988.00","32,073.00","63,354.00","60,065.00","14,878.00","25,660.00","38,079.00","18,634.00","13,523.00"
"8","Inventories","35,800.00","32,531.00","39,399.00","54,411.00","60,272.00","39,890.00","33,366.00","40,397.00","32,513.00","32,857.00"
"9","Net Property, Plant & Equipment","43,870.00","43,651.00","45,589.00","45,171.00","43,813.00","42,791.00","41,446.00","40,746.00","41,520.00","42,078.00"
"10","Accrued Payable","39,422.00","16,120.00","32,533.00","60,995.00","53,422.00","16,879.00","23,491.00","41,676.00","22,869.00","14,904.00"
"11","Short Term Debt","4,113.00","3,321.00","-","1,654.00","1,035.00","798.00","541.00","329.00","275.00","261.00"
"12","Long Term Debt","1,492.00","1,175.00","854.00","576.00","456.00","377.00","313.00","248.00","182.00","116.00"
"13","Net Operating Cash Flow","20,858.00","(4,556.00)","(6,824.00)","(8,848.00)","(2,152.00)","28,855.00","3,562.00","1,621.00","9,155.00","(6,035.00)"
"14","Capital Expenditures","(1,310.00)","(1,271.00)","(1,466.00)","(2,539.00)","(592.00)","(234.00)","(790.00)","(666.00)","(1,298.00)","(2,232.00)"
"15","Total Shares Outstanding (million)","388,000.00","388,000.00","388,000.00","388,000.00","388,000.00","388,000.00","388,000.00","388,000.00","387,185.00","387,185.00"
"16","Financial Year","30-06-2014","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","","","",""
"16","Net Income","60,114.78","27,411.83","24,324.82","19,354.00","11,362.00","(726.00)","","","",""
"17","Cash & Short-Term Investments","32,206.29","41,217.64","97,896.03","83,085.00","91,112.00","86,395.00","","","",""
"17","Sales/Revenue","204,131.87","192,517.68","241,826.91","247,091.00","261,474.00","165,047.00","","","",""
"18","Cash Only","10,706.29","4,867.64","2,863.09","4,551.00","1,049.00","31,815.00","","","",""
"18","Pretax Income","59,248.20","20,283.73","32,898.84","25,333.00","15,097.00","(1,184.00)","","","",""
"19","Total Accounts Receivables","28,593.48","17,329.47","25,284.06","29,927.00","22,554.00","13,523.00","","","",""
"20","Inventories","18,389.47","15,593.48","34,288.61","39,399.00","33,366.00","32,857.00","","","",""
"21","Net Property, Plant & Equipment","41,676.24","38,944.24","40,095.75","45,589.00","41,446.00","42,078.00","","","",""
"22","Accrued Payable","-","-","-","-","-","14,904.00","","","",""
"23","Short Term Debt","6,139.04","6,483.16","4,389.73","2,517.00","541.00","261.00","","","",""
"24","Long Term Debt","15,345.61","9,365.71","3,382.03","854.00","313.00","116.00","","","",""
"25","Net Operating Cash Flow","14,938.59","25,998.30","16,637.18","5,887.00","21,417.00","8,303.00","","","",""
"26","Capital Expenditures","(2,806.19)","(2,912.41)","(4,344.06)","(9,712.00)","(4,155.00)","(4,986.00)","","","",""
"27","Total Shares Outstanding (million)","310,000.00","310,000.00","388,000.00","388,000.00","388,000.00","387,185.00","388,000.00","241,247.14","",""
