"1","Financial Year","30-06-2019       Other","30-09-2019       Other","31-12-2019       Other","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","6,085.00","51,187.00","38,416.00","32,959.00","37,442.00","35,210.00","55,446.71","31,215.00","23,937.00","9,805.00"
"3","Pretax Income","(9,716.00)","(4,710.00)","(35,579.00)","(13,105.00)","(31,720.00)","(10,811.00)","(18,178.06)","(8,539.00)","(2,964.00)","(12,114.00)"
"4","Net Income","(7,244.00)","(1,751.00)","(28,117.00)","(12,720.00)","(31,476.00)","(10,852.00)","(12,718.94)","(8,318.00)","(3,888.00)","(11,185.00)"
"5","Cash & Short-Term Investments","160,079.00","161,659.00","30,072.00","46,441.00","39,913.00","25,231.00","25,277.00","25,279.00","25,223.00","25,139.00"
"6","Cash Only","5,053.00","1,121.00","579.00","615.00","544.00","1,249.00","712.00","713.00","656.00","572.00"
"7","Total Accounts Receivables","159,404.00","111,153.00","80,439.00","88,375.00","89,413.00","104,921.00","98,636.00","86,022.00","73,435.00","71,360.00"
"8","Inventories","657,318.00","637,820.00","627,562.00","618,999.00","578,405.00","577,508.00","553,453.00","554,320.00","553,563.00","553,638.00"
"9","Net Property, Plant & Equipment","125,192.00","122,710.00","103,420.00","103,787.00","100,064.00","106,386.00","97,481.00","95,500.00","92,652.00","81,528.00"
"10","Accrued Payable","252,741.00","194,012.00","88,575.00","94,218.00","79,956.00","99,338.00","68,376.00","59,892.00","42,325.00","38,901.00"
"11","Short Term Debt","33,197.00","29,462.00","30,052.00","93,219.00","76,504.00","33,954.00","29,953.00","30,691.00","35,494.00","37,733.00"
"12","Long Term Debt","184,842.00","189,125.00","13,328.00","12,730.00","12,530.00","73,459.00","72,427.00","71,396.00","70,360.00","69,524.00"
"13","Net Operating Cash Flow","10,427.00","12,954.00","15,417.00","7,868.00","24,716.00","(18,944.00)","16,829.93","2,528.00","(601.00)","1,528.00"
"14","Capital Expenditures","(67.00)","(203.00)","(291.00)","(93.00)","-","(33.00)","(16.20)","(2.00)","(12.00)","(6.00)"
"15","Total Shares Outstanding (million)","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10","849,087.10"
