"1","Financial Year","31-10-2015","31-10-2016","31-10-2017","31-10-2018","31-10-2019","31-10-2020","31-10-2021","31-01-2022       TTM","",""
"2","Sales/Revenue","7,454.00","970.00","488.00","4,904.00","478.00","672,985.00","572,712.00","318,680.00","",""
"3","Pretax Income","(101,455.00)","(236,936.00)","(87,251.00)","29,019.00","190,305.00","113,891.00","50,802.00","(39,406.00)","",""
"4","Net Income","(99,264.00)","(238,326.00)","(87,633.00)","35,238.00","187,004.00","80,326.00","13,570.00","(57,124.00)","",""
"5","Cash & Short-Term Investments","27,373.00","18,573.00","992,388.00","436,960.00","439,995.00","284,014.00","336,115.00","383,476.25","",""
"6","Cash Only","27,373.00","14,631.00","30,183.00","33,184.00","65,573.00","284,014.00","188,520.00","383,476.25","",""
"7","Total Accounts Receivables","9,086.00","2,471.00","3,577.00","11,222.00","2,135,573.00","1,545,447.00","1,147,731.00","1,429,432.25","",""
"8","Inventories","156,053.00","174,040.00","366,717.00","461,836.00","909,964.00","652,243.00","250,375.00","279,209.50","",""
"9","Net Property, Plant & Equipment","2,551.00","2,299.00","7,169.00","6,366.00","4,243.00","7,547.00","4,708.00","4,956.75","",""
"10","Accrued Payable","-","-","-","-","-","24,936.00","-","22,857.25","",""
"11","Short Term Debt","824,398.00","1,055,552.00","79,913.00","230,686.00","107,210.00","781,058.00","139,553.00","302,068.00","",""
"12","Long Term Debt","45,800.00","-","48,684.00","605,574.00","1,356,665.00","452,039.00","763,726.00","599,407.25","",""
"13","Net Operating Cash Flow","(86,270.00)","(51,602.00)","(90,438.00)","(185,981.00)","(584,340.00)","320,909.00","467,298.00","199,946.00","",""
"14","Capital Expenditures","(3,146.00)","(719.00)","(6,344.00)","(1,431.00)","(63.00)","(839.00)","(613.00)","(303.00)","",""
"15","Total Shares Outstanding (million)","246,541.00","246,541.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","2,400,000.00","520,970.00"
