"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-09-2021       TTM","",""
"2","Sales/Revenue","36,424.46","41,287.22","48,276.44","50,381.86","61,431.24","54,412.00","46,367.70","",""
"3","Pretax Income","8,103.74","9,593.90","10,142.14","8,432.96","10,441.45","8,264.00","1,991.38","",""
"4","Net Income","7,193.73","7,474.46","7,859.91","6,228.96","8,068.81","6,502.00","2,076.53","",""
"5","Cash & Short-Term Investments","956.36","2,279.83","5,848.57","3,672.07","32,956.75","31,914.00","26,513.25","",""
"6","Cash Only","506.36","1,179.83","3,545.86","2,271.46","3,394.83","7,154.00","7,340.00","",""
"7","Total Accounts Receivables","4,949.94","6,179.61","6,202.67","8,627.76","8,050.93","5,900.00","7,957.00","",""
"8","Inventories","4,816.18","4,568.57","5,949.90","6,777.46","7,478.89","13,023.00","13,864.00","",""
"9","Net Property, Plant & Equipment","14,601.38","14,880.79","16,689.35","31,057.73","33,287.59","41,989.00","43,538.75","",""
"10","Short Term Debt","947.29","901.38","1,208.55","591.58","711.37","1,315.00","1,317.50","",""
"11","Long Term Debt","3,418.48","3,186.65","2,936.63","6,185.80","5,579.89","7,173.00","6,672.00","",""
"12","Net Operating Cash Flow","4,386.28","9,215.99","6,762.14","6,999.23","11,961.72","4,776.00","56.00","",""
"13","Capital Expenditures","(1,525.01)","(1,881.41)","(3,658.94)","(7,395.25)","(4,073.78)","(3,127.00)","(10,136.00)","",""
"14","Total Shares Outstanding (million)","318,000.00","318,000.00","318,000.00","318,000.00","415,687.00","415,687.00","415,689.40","318,000.00","190,983.64"
