"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","1,683,180.00","351,956.00","345,637.00","373,796.00","407,307.00","467,392.00","392,245.00","2,097.00","81,711.00","87,287.00","108,700.00"
"3","Pretax Income","23,196.00","(25,180.00)","12,982.00","(25,145.00)","(9,504.00)","(1,064.00)","34,069.00","(19,316.00)","28,628.00","(24,373.00)","(5,395.00)"
"4","Net Income","52,618.00","27,465.00","125,769.00","42,477.00","4,708.00","16,742.00","24,630.00","263,307.00","25,136.00","(27,457.00)","(8,261.00)"
"5","Cash Only","7,381.00","60,250.00","10,725.00","11,889.00","181,840.00","342,268.00","357,245.00","157,074.00","141,226.00","251,132.00","256,840.00"
"6","Net Property, Plant & Equipment","76,558.00","8,387.00","10,373.00","23,886.00","21,843.00","17,297.00","14,575.00","3,686.00","4,612.00","4,105.00","9,547.00"
"7","Long Term Debt","200,000.00","170,000.00","-","-","-","-","-","-","-","-","5,936.00"
"8","Net Operating Cash Flow","(18,143.00)","115,975.00","82,406.00","(21,555.00)","16,910.00","100,826.00","64,165.00","29,938.00","(2,139.00)","(39,576.00)","(39,617.00)"
"9","Capital Expenditures","(7,704.00)","(73,041.00)","(6,910.00)","(17,409.00)","(3,208.00)","(1,782.00)","(1,681.00)","(969.00)","(784.00)","(534.00)","(453.00)"
"10","Total Shares Outstanding (million)","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00","302,329.00","292,184.00","273,518.00","304,354.00","304,354.00","304,354.00"
"11","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1","31-03-2019       1"
"12","Sales/Revenue","1,982.00","(42.00)","11,791.00","31,460.00","31,493.00","18,368.00","27,194.00","27,432.00","14,293.00","39,781.00","39,781.00"
"13","Pretax Income","(6,059.00)","(548.00)","31,925.00","1,210.00","(3,959.00)","(11,196.00)","370.00","(1,863.00)","(11,684.00)","7,782.00","7,782.00"
"16","Net Income","(20,352.00)","(577.00)","30,452.00","740.00","(5,479.00)","(12,630.00)","(1,158.00)","(2,633.00)","(11,036.00)","6,566.00","6,566.00"
"17","Cash Only","157,074.00","32,116.00","97,342.00","161,280.00","141,226.00","166,662.00","147,866.00","142,667.00","251,132.00","256,840.00","256,840.00"
"18","Net Property, Plant & Equipment","3,686.00","3,466.00","4,903.00","4,609.00","4,612.00","4,539.00","4,399.00","4,294.00","4,105.00","9,547.00","9,547.00"
"19","Long Term Debt","-","-","-","-","-","-","-","-","-","5,936.00","5,936.00"
"20","Net Operating Cash Flow","203,564.00","(1,728.00)","(12,321.00)","(13,386.00)","25,296.00","(1,209.00)","(21,112.00)","(7,557.00)","(9,698.00)","(1,250.00)","(1,250.00)"
"21","Capital Expenditures","(160.00)","(6.00)","(162.00)","(142.00)","(474.00)","(237.00)","(75.00)","(123.00)","(99.00)","(156.00)","(156.00)"
"22","Total Shares Outstanding (million)","273,518.00","273,518.00","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00","304,354.00"
