"1","Financial Year","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018"
"2","Sales/Revenue","8,444,321.00","8,863,649.00","9,336,809.00","7,381,846.00","7,445,353.00","8,765,501.00","3,012,972.00","4,627,388.00","4,160,095.00","4,983,770.00"
"3","Pretax Income","685,755.00","855,748.00","1,002,331.00","1,729,160.00","260,736.00","885,609.00","365,290.00","672,742.00","451,739.00","402,927.00"
"4","Net Income","236,711.00","344,940.00","334,485.00","921,788.00","228,657.00","492,932.00","1,664,384.00","549,662.00","225,408.00","220,080.00"
"5","Cash & Short-Term Investments","4,554,069.00","4,144,411.00","4,665,144.00","6,250,274.00","4,419,478.00","5,116,889.00","1,370,104.00","1,302,051.00","1,005,525.00","1,624,977.00"
"6","Cash Only","420,448.00","191,069.00","198,757.00","180,438.00","432,217.00","601,126.00","195,943.00","161,418.00","135,817.00","205,949.00"
"7","Total Accounts Receivables","1,810,796.00","2,420,838.00","2,432,878.00","2,253,494.00","2,707,618.00","2,747,628.00","1,568,676.00","2,252,985.00","2,200,354.00","2,693,850.00"
"8","Inventories","638,416.00","585,289.00","719,906.00","722,290.00","493,734.00","540,187.00","467,000.00","211,294.00","119,082.00","104,673.00"
"9","Net Property, Plant & Equipment","18,307,015.00","18,653,749.00","18,190,602.00","18,758,984.00","21,430,496.00","21,203,402.00","8,079,269.00","8,239,455.00","7,088,789.00","9,481,872.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","-"
"11","Short Term Debt","2,559,408.00","4,021,955.00","3,447,678.00","3,378,296.00","2,224,894.00","1,673,509.00","1,387,693.00","1,521,704.00","1,371,998.00","2,554,708.00"
"12","Long Term Debt","18,668,881.00","16,111,143.00","15,674,169.00","18,141,878.00","21,901,563.00","24,083,526.00","7,488,965.00","7,615,445.00","7,517,967.00","8,162,828.00"
"13","Net Operating Cash Flow","2,817,635.00","2,059,903.00","3,284,099.00","2,819,142.00","2,119,191.00","3,185,646.00","1,052,645.00","751,749.00","1,141,161.00","1,128,157.00"
"14","Capital Expenditures","(746,202.00)","(550,437.00)","(371,771.00)","(2,241,593.00)","(3,296,576.00)","(2,434,066.00)","(848,050.00)","(585,766.00)","(591,240.00)","(874,977.00)"
"15","Total Shares Outstanding (million)","3,045,059.00","3,045,059.00","3,045,059.00","3,045,059.00","3,045,058.55","3,045,058.55","3,045,058.55","3,045,058.00","3,045,058.00","3,045,058.00"
