"1","Financial Year","31-12-2018       3","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       Other","30-06-2020       Other","30-09-2020       Other","31-12-2020       1","31-03-2021       2","30-06-2021       3"
"2","Sales/Revenue","9,791.00","8,486.00","7,826.00","9,750.00","7,660.00","5,003.00","11,461.00","10,196.00","14,058.00","11,688.00"
"3","Pretax Income","(210.00)","1,077.00","1,012.00","970.00","(256.00)","(949.00)","(48,936.00)","992.00","451.00","2,536.00"
"4","Net Income","(714.00)","454.00","458.00","371.00","(571.00)","(1,262.00)","(49,209.00)","563.00","139.00","1,917.00"
"5","Cash & Short-Term Investments","28,670.00","28,288.00","25,998.00","28,038.00","27,545.00","22,223.00","30,068.00","28,740.00","24,959.00","22,151.00"
"6","Total Accounts Receivables","45,534.00","24,360.00","26,391.00","29,346.00","30,018.00","32,461.00","30,823.00","26,431.00","32,471.00","36,538.00"
"7","Inventories","4,162.00","3,700.00","3,348.00","3,245.00","2,522.00","3,645.00","2,791.00","4,823.00","3,949.00","5,737.00"
"8","Net Property, Plant & Equipment","5,732.00","6,966.00","6,838.00","6,682.00","6,565.00","6,431.00","6,463.00","6,301.00","6,130.00","6,008.00"
"9","Accrued Payable","-","-","-","-","-","-","-","4,040.00","3,649.00","8,554.00"
"10","Short Term Debt","1,266.00","302.00","275.00","4,266.00","4,210.00","4,201.00","3,157.00","3,151.00","5,146.00","3,056.00"
"11","Long Term Debt","2,060.00","1,836.00","1,774.00","1,691.00","1,604.00","1,630.00","1,617.00","1,571.00","1,538.00","1,532.00"
"12","Net Operating Cash Flow","(3,947.00)","2,258.00","(2,168.00)","(1,868.00)","(426.00)","(5,764.00)","3,588.00","(1,269.00)","(5,749.00)","(693.00)"
"13","Capital Expenditures","(6.00)","-","(33.00)","-","(29.00)","(30.00)","(45.00)","(72.00)","12.00","(16.00)"
"14","Total Shares Outstanding (million)","5,072,348.00","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56","5,072,360.56"
