"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       1","30-06-2018       2","30-09-2018       3","31-12-2018       4","31-03-2019       1"
"2","Sales/Revenue","86,066.01","158,940.00","79,834.00","80,453.00","150,241.05","127,493.00","187,192.00","159,271.00","111,373.88","86,346.00"
"3","Pretax Income","13,509.55","25,852.00","10,187.00","14,962.00","30,219.36","21,978.00","27,039.00","22,135.00","15,809.91","12,763.00"
"4","Net Income","7,450.48","16,142.00","7,229.00","9,434.00","15,229.75","16,473.00","19,097.00","17,046.00","8,593.89","11,256.00"
"5","Cash & Short-Term Investments","35,443.72","46,103.00","45,758.00","54,844.00","144,514.27","143,651.00","143,258.00","151,350.00","129,899.79","117,027.00"
"6","Total Accounts Receivables","522,711.47","664,844.00","705,600.00","617,108.00","617,797.68","628,335.00","751,106.00","877,424.00","803,901.11","793,207.00"
"7","Inventories","270,089.32","230,186.00","233,113.00","235,750.00","224,773.90","279,165.00","310,570.00","327,455.00","378,990.29","396,723.00"
"8","Net Property, Plant & Equipment","43,582.89","40,850.00","36,513.00","34,997.00","32,253.10","32,928.00","33,103.00","31,563.00","30,921.97","28,095.00"
"9","Accrued Payable","-","-","-","380,263.00","430,773.37","492,762.00","613,705.00","696,039.00","674,167.01","650,886.00"
"10","Short Term Debt","195,889.57","232,493.00","237,256.00","170,371.00","158,976.64","138,720.00","168,267.00","197,011.00","176,787.07","176,698.00"
"11","Long Term Debt","72,525.75","69,906.00","67,795.00","33,173.00","29,182.89","29,226.00","27,953.00","21,584.00","28,919.93","33,634.00"
"12","Net Operating Cash Flow","30,348.46","(25,303.00)","247.00","88,305.00","86,083.74","12,890.00","(4,798.00)","(39,262.00)","7,444.72","(19,870.00)"
"13","Capital Expenditures","(801.35)","(131.00)","(448.00)","(1,443.00)","662.35","(579.00)","(1,726.00)","(1,372.00)","(2,267.92)","(49.00)"
"14","Total Shares Outstanding (million)","390,384.00","390,384.00","390,384.00","429,473.60","459,960.86","475,630.10","463,999.35","487,130.89","487,131.96","499,720.64"
"15","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM","31-03-2019       TTM"
"16","Pretax Income","71,593.00","31,892.37","72,505.49","106,255.68","(7,874.32)","43,649.55","81,220.36","86,961.91","77,746.91",""
"16","Sales/Revenue","372,446.00","319,527.46","406,307.62","534,163.22","272,510.91","330,058.01","469,468.05","585,329.88","544,182.88","544,182.88"
"17","Net Income","48,235.00","21,613.14","42,840.00","52,948.22","(9,666.03)","22,631.48","48,034.75","61,209.89","55,992.89",""
"18","Cash & Short-Term Investments","50,955.00","90,000.94","63,387.69","48,348.53","43,203.20","35,443.72","144,514.27","129,899.79","117,027.00",""
"19","Cash Only","19,721.00","10,704.68","7,607.74","11,553.85","6,678.09","2,396.77","11,222.49","-","-",""
"20","Total Accounts Receivables","202,935.00","190,178.91","307,428.18","405,683.83","459,720.55","506,646.85","600,169.63","789,688.61","793,207.00",""
"21","Inventories","113,215.00","156,459.94","204,400.78","219,996.53","262,422.16","270,089.32","224,773.90","378,990.29","396,723.00",""
"22","Net Property, Plant & Equipment","8,485.00","11,168.14","18,030.62","54,525.73","55,060.95","43,582.89","32,253.10","30,921.97","28,095.00",""
"23","Accrued Payable","-","-","-","-","-","-","-","-","650,886.00",""
"24","Short Term Debt","38,749.00","49,290.71","99,702.75","160,777.44","211,713.95","195,889.57","158,976.64","176,787.07","176,698.00",""
"25","Long Term Debt","28,999.00","14,663.91","34,489.05","12,628.38","82,173.64","72,525.75","29,182.89","28,919.93","33,634.00",""
"26","Net Operating Cash Flow","(81,737.00)","(24,098.85)","(83,579.69)","3,198.01","(67,913.25)","29,594.46","149,332.74","(23,725.28)","(56,485.28)",""
"27","Capital Expenditures","(935.00)","(2,504.13)","(53,254.33)","(54,820.83)","(9,794.38)","(1,462.35)","(1,359.65)","(5,944.92)","(5,414.92)",""
"28","Total Shares Outstanding (million)","359,075.00","359,075.00","355,209.00","388,445.00","390,484.00","398,192.19","459,959.84","487,131.96","499,720.64","398,192.19"
