"1","Financial Year","31-12-2016       3","31-03-2017       4","30-06-2017       1","30-09-2017       2","31-12-2017       3","31-03-2018       4","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       4"
"2","Sales/Revenue","130,954.00","127,492.00","125,050.00","154,881.00","136,244.00","146,333.00","141,178.00","169,305.00","133,908.00","154,956.00"
"3","Pretax Income","7,393.00","10,671.00","8,284.00","9,002.00","8,975.00","6,393.00","8,633.00","9,147.00","2,839.00","508.00"
"4","Net Income","5,469.00","6,389.00","6,038.00","6,548.00","8,004.00","2,913.00","6,388.00","7,147.00","2,099.00","109.00"
"5","Cash & Short-Term Investments","38,702.00","44,684.00","32,124.00","30,864.00","33,851.00","29,767.00","13,022.00","14,808.00","9,700.00","18,022.00"
"6","Cash Only","11,470.00","8,202.00","8,428.00","8,941.00","16,760.00","15,321.00","5,901.00","10,808.00","9,200.00","9,352.00"
"7","Total Accounts Receivables","148,624.00","133,678.00","138,882.00","158,334.00","153,723.00","161,947.00","164,457.00","180,551.00","163,795.00","175,857.00"
"8","Inventories","136,621.00","155,112.00","180,197.00","168,315.00","203,191.00","217,740.00","217,848.00","248,250.00","293,461.00","328,791.00"
"9","Net Property, Plant & Equipment","76,292.00","79,532.00","86,476.00","97,603.00","98,151.00","108,682.00","108,245.00","107,539.00","106,579.00","106,410.00"
"10","Accrued Payable","26,928.00","37,344.00","29,704.00","22,616.00","39,257.00","14,231.00","30,590.00","34,023.00","46,117.00","62,797.00"
"11","Short Term Debt","-","-","-","-","-","218,424.00","-","-","-","-"
"12","Long Term Debt","2,018.00","2,151.00","1,785.00","1,546.00","1,279.00","1,213.00","1,189.00","954.00","906.00","816.00"
"13","Net Operating Cash Flow","4,729.00","10,277.00","(29,330.00)","(4,142.00)","(5,123.00)","(8,874.00)","(13,914.00)","(31,556.00)","(12,612.00)","(38,532.00)"
"14","Capital Expenditures","(2,813.00)","(3,730.00)","(7,673.00)","(11,957.00)","(6,357.00)","1,023.00","(776.00)","(479.00)","(325.00)","(820.00)"
"15","Total Shares Outstanding (million)","380,418.00","380,418.00","380,418.00","380,417.66","380,471.66","380,417.66","380,417.66","380,417.66","380,417.66","380,417.66"
"16","Financial Year","31-12-2010","31-12-2011","31-03-2012","31-03-2013","31-03-2014","31-03-2015","31-03-2016","31-03-2017","31-03-2018","31-03-2019"
"16","Pretax Income","95,854.00","71.00","23,456.00","14,964.00","18,171.00","8,641.00","11,735.00","39,665.00","32,654.00","21,127.00"
"17","Net Income","82,342.00","323.00","17,598.00","9,551.00","12,970.00","7,050.00","8,269.00","27,835.00","23,503.00","15,743.00"
"17","Sales/Revenue","272,399.00","-","535,329.00","648,779.00","656,065.00","563,799.00","591,352.00","530,085.00","562,508.00","599,347.00"
"18","Cash & Short-Term Investments","220,488.00","3,385.00","57,579.00","57,569.00","51,892.00","49,040.00","44,276.00","44,684.00","29,767.00","18,022.00"
"19","Cash Only","210.00","-","24,194.00","24,803.00","17,485.00","18,165.00","16,641.00","8,202.00","15,321.00","9,352.00"
"20","Total Accounts Receivables","82,946.00","400.00","144,797.00","170,822.00","150,793.00","164,598.00","160,369.00","133,678.00","161,947.00","175,857.00"
"21","Inventories","-","-","128,974.00","143,906.00","172,255.00","191,056.00","145,321.00","155,111.00","217,740.00","328,791.00"
"22","Net Property, Plant & Equipment","-","-","30,609.00","74,279.00","72,756.00","71,672.00","72,614.00","79,532.00","108,682.00","106,410.00"
"23","Accrued Payable","-","-","61,921.00","-","-","-","9,738.00","8,922.00","14,231.00","62,797.00"
"24","Short Term Debt","-","-","-","218,242.00","215,184.00","248,460.00","188,992.00","143,549.00","218,424.00","-"
"25","Long Term Debt","-","-","6,110.00","5,376.00","4,692.00","4,606.00","3,164.00","2,151.00","1,213.00","816.00"
"26","Net Operating Cash Flow","70,930.00","(2,111.00)","(17,911.00)","(49,903.00)","11,606.00","(21,463.00)","77,042.00","61,605.00","(47,469.00)","(96,614.00)"
"27","Capital Expenditures","(5,397.00)","-","(1,611.00)","(3,609.00)","(582.00)","(410.00)","(4,189.00)","(9,659.00)","(24,964.00)","(2,400.00)"
"28","Total Shares Outstanding (million)","114,305.00","115,110.00","340,418.00","380,418.00","380,418.00","380,418.00","380,418.00","380,417.66","380,417.66","380,417.66"
