"1","Financial Year","30-09-2019       3","31-12-2019       4","31-03-2020       1","30-06-2020       2","30-09-2020       3","31-12-2020       4","31-03-2021       1","30-06-2021       2","30-09-2021       3"
"2","Sales/Revenue","16,450.00","17,285.24","16,195.00","5,580.00","17,303.00","15,334.70","15,679.00","13,587.00","1,767.00"
"3","Pretax Income","3,755.00","1,435.45","2,411.00","232.00","3,949.00","1,668.38","1,637.00","574.00","(1,888.00)"
"4","Net Income","3,053.00","852.81","2,029.00","159.00","3,039.00","1,272.53","1,264.00","564.00","(1,024.00)"
"5","Cash & Short-Term Investments","5,268.00","32,956.75","32,815.00","30,075.00","34,790.00","31,914.00","28,499.00","25,228.00","20,412.00"
"6","Cash Only","3,867.00","3,394.83","5,003.00","4,832.00","9,277.00","7,154.00","7,261.00","5,914.00","9,031.00"
"7","Total Accounts Receivables","8,637.00","8,050.93","7,265.00","4,523.00","8,243.00","5,900.00","8,900.00","12,142.00","4,886.00"
"8","Inventories","8,084.00","7,478.89","8,321.00","9,399.00","9,411.00","13,023.00","14,026.00","13,992.00","14,415.00"
"9","Net Property, Plant & Equipment","33,671.00","33,287.59","34,530.00","34,265.00","33,860.00","41,989.00","42,497.00","42,001.00","47,668.00"
"10","Short Term Debt","5,732.00","711.37","1,360.00","1,368.00","1,377.00","1,315.00","1,306.00","1,318.00","1,331.00"
"11","Long Term Debt","613.00","5,579.89","6,285.00","5,968.00","5,589.00","7,173.00","6,840.00","6,506.00","6,169.00"
"12","Net Operating Cash Flow","6,968.00","4,993.72","100.00","(2,108.00)","5,339.00","1,445.00","(2,030.00)","(2,892.00)","3,533.00"
"13","Capital Expenditures","(3,996.00)","(77.78)","(228.00)","(427.00)","(281.00)","(2,191.00)","(1,251.00)","(262.00)","(6,432.00)"
"14","Total Shares Outstanding (million)","318,000.00","415,687.00","415,687.00","415,687.00","415,687.00","415,687.00","415,689.40","415,689.40","415,689.40"
