"1","Financial Year","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020","30-06-2021       TTM","30-06-2021       TTM"
"2","Sales/Revenue","159,902.00","171,919.00","184,474.00","191,684.00","155,357.00","152,456.00","152,456.00"
"3","Pretax Income","36,773.00","34,284.00","58,550.00","40,395.00","27,621.00","27,950.00","27,950.00"
"4","Net Income","26,813.00","24,100.00","45,625.00","30,151.00","20,183.00","20,840.00","20,840.00"
"5","Cash & Short-Term Investments","21,294.00","26,026.00","26,499.00","17,491.00","53,495.00","51,428.75","51,428.75"
"6","Total Accounts Receivables","98,760.00","114,224.00","3,294.00","5,779.00","5,652.00","5,200.50","5,200.50"
"7","Inventories","26,154.00","24,451.00","26,734.00","33,776.00","34,415.00","31,444.75","31,444.75"
"8","Net Property, Plant & Equipment","41,974.00","35,794.00","30,157.00","38,120.00","34,726.00","32,647.75","32,647.75"
"9","Accrued Payable","18,130.00","19,945.00","15,688.00","19,105.00","14,426.00","13,045.50","13,045.50"
"10","Short Term Debt","25,890.00","25,354.00","33,185.00","30,381.00","12,600.00","11,759.00","11,759.00"
"11","Long Term Debt","17,315.00","11,211.00","11,441.00","11,357.00","10,390.00","9,305.25","9,305.25"
"12","Net Operating Cash Flow","31,696.00","40,043.00","32,005.00","47,178.00","35,741.00","44,897.00","44,897.00"
"13","Capital Expenditures","(3,026.00)","(3,188.00)","(1,969.00)","(11,139.00)","(6,181.00)","(3,227.00)","(3,227.00)"
"14","Total Shares Outstanding (million)","631,807.49","631,807.49","631,807.49","631,807.00","705,881.00","705,881.00","631,807.49"
