"1","Financial Year","30-06-2019       2","30-09-2019       Other","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       1","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1"
"2","Sales/Revenue","1,436.00","1,526.00","1,653.00","759.00","835.00","1,313.00","3,372.00","4,250.00","3,221.13","3,064.00"
"3","Pretax Income","107.00","587.00","(1,141.00)","158.00","(9,801.00)","(345.00)","543.00","652.00","(30,030.05)","334.00"
"4","Net Income","51.00","356.00","(1,442.00)","42.00","(9,341.00)","(348.00)","543.00","652.00","(30,027.05)","334.00"
"5","Cash & Short-Term Investments","2,878.00","2,203.00","1,009.00","1,254.00","840.00","1,414.00","1,260.00","10,185.00","7,421.00","2,131.00"
"6","Cash Only","2,878.00","2,203.00","1,009.00","1,254.00","840.00","1,414.00","1,260.00","4,185.00","1,421.00","2,131.00"
"7","Total Accounts Receivables","18,353.00","17,844.00","24,096.00","24,496.00","10,902.00","11,285.00","11,748.00","17,845.00","9,604.00","11,550.00"
"8","Inventories","-","-","-","-","-","-","-","1,851.00","-","-"
"9","Net Property, Plant & Equipment","4,309.00","4,086.00","3,640.00","3,194.00","5,366.00","5,435.00","5,724.00","5,367.00","4,308.00","3,956.00"
"10","Accrued Payable","-","-","-","-","-","-","-","-","-","1,355.00"
"11","Short Term Debt","129.00","9.00","9.00","5.00","13.00","86.00","128.00","57.00","110.00","83.00"
"12","Long Term Debt","505.00","49.00","45.00","45.00","35.00","338.00","619.00","255.00","193.00","193.00"
"13","Net Operating Cash Flow","(6,840.00)","(99.00)","(12,305.00)","(12,056.00)","(8,230.00)","(1,723.00)","(92.00)","(12,869.00)","(10,969.00)","261.00"
"14","Capital Expenditures","-","-","(4.00)","(4.00)","(6,512.00)","(59.00)","(355.00)","1.00","(36.00)","-"
"15","Total Shares Outstanding (million)","224,095.85","224,095.85","224,095.85","224,095.85","224,095.85","275,537.96","275,537.96","436,198.96","539,068.86","552,513.96"
